# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	25. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	B
# Flight type and number:	Free Flight 10
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
3840000	2993.8585	1849.9605	117.1022	0.2432	-0.1970	0.1044	0.0000	0.0000	0.0000	1
3840020	2993.9072	1849.9211	117.1231	0.3094	-0.2943	0.0894	0.8284	-1.1110	-0.1333	1
3840040	2993.9823	1849.8428	117.1380	0.4447	-0.5314	0.0370	0.6572	-1.3921	-0.3688	1
3840060	2994.0851	1849.7086	117.1379	0.5895	-0.8379	-0.0615	0.6886	-1.7131	-0.6358	1
3840080	2994.2181	1849.5077	117.1134	0.7863	-1.1762	-0.1935	1.1338	-1.7536	-0.7522	1
3840100	2994.3996	1849.2381	117.0605	1.1113	-1.5038	-0.3212	2.0361	-1.5714	-0.6105	1
3840120	2994.6627	1848.9061	116.9849	1.5958	-1.7876	-0.3984	2.9640	-1.3146	-0.2121	1
3840140	2995.0379	1848.5230	116.9011	2.1491	-1.9982	-0.3996	2.9353	-0.8494	0.2299	1
3840160	2995.5223	1848.1069	116.8250	2.5743	-2.1003	-0.3394	1.6619	-0.2414	0.4510	1
3840180	2996.0676	1847.6829	116.7654	2.6856	-2.0560	-0.2570	-0.4380	0.6421	0.4215	1
3840200	2996.5965	1847.2845	116.7223	2.4249	-1.8479	-0.1774	-2.3757	1.5011	0.3532	1
3840220	2997.0376	1846.9437	116.6944	1.9028	-1.5136	-0.0938	-3.2333	2.0114	0.4472	1
3840240	2997.3576	1846.6790	116.6847	1.3253	-1.1444	0.0091	-2.8485	1.8562	0.5949	1
3840260	2997.5677	1846.4860	116.6980	0.8624	-0.8331	0.1226	-1.8607	1.3113	0.6089	1
3840280	2997.7026	1846.3458	116.7338	0.5645	-0.6100	0.2118	-0.9956	0.8285	0.3433	1
3840300	2997.7936	1846.2420	116.7827	0.3730	-0.4293	0.2466	-0.7425	0.8312	-0.0045	1
