# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	26. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	L
# Flight type and number:	Free Flight 11
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
5730000	2997.4001	1842.1858	130.6297	0.0325	0.0000	0.2406	0.0000	0.0000	0.0000	1
5730020	2997.4066	1842.1858	130.6779	0.0442	0.0000	0.2790	0.1360	-0.0000	0.4767	1
5730040	2997.4178	1842.1858	130.7413	0.0718	0.0000	0.3582	0.1571	0.0000	0.3952	1
5730060	2997.4353	1842.1858	130.8211	0.1068	0.0000	0.4371	0.1938	-0.0000	0.3933	1
5730080	2997.4605	1842.1858	130.9162	0.1447	0.0000	0.5066	0.2061	0.0000	0.3174	1
5730100	2997.4932	1842.1858	131.0238	0.1734	0.0000	0.5596	0.1209	-0.0000	0.2198	1
5730120	2997.5299	1842.1858	131.1400	0.1715	0.0000	0.5900	-0.1067	0.0000	0.0990	1
5730140	2997.5618	1842.1858	131.2598	0.1233	0.0000	0.5912	-0.3946	-0.0000	-0.0897	1
5730160	2997.5792	1842.1858	131.3765	0.0407	0.0000	0.5654	-0.5045	0.0000	-0.1906	1
5730180	2997.5781	1842.1858	131.4859	-0.0385	0.0000	0.5230	-0.3524	-0.0000	-0.2481	1
5730200	2997.5638	1842.1858	131.5857	-0.0806	0.0000	0.4732	-0.0778	0.0000	-0.2614	1
5730220	2997.5459	1842.1858	131.6752	-0.0793	0.0000	0.4229	0.1318	-0.0000	-0.2493	1
5730240	2997.5321	1842.1858	131.7549	-0.0542	0.0000	0.3769	0.1623	0.0001	-0.2137	1
5730260	2997.5242	1842.1858	131.8259	-0.0281	0.0000	0.3366	0.1130	-0.0002	-0.1868	1
5730280	2997.5208	1842.1858	131.8895	-0.0112	0.0000	0.3016	0.0553	0.0008	-0.1650	1
5730300	2997.5197	1842.1858	131.9466	-0.0041	0.0000	0.2730	0.0092	-0.0029	-0.1291	1
5730320	2997.5192	1842.1858	131.9987	-0.0041	0.0010	0.2539	-0.0104	0.0110	-0.0581	1
5730340	2997.5181	1842.1863	132.0481	-0.0105	0.0051	0.2405	-0.0492	0.0207	-0.0439	1
5730360	2997.5149	1842.1879	132.0949	-0.0247	0.0177	0.2166	-0.0946	0.0886	-0.1638	1
5730380	2997.5082	1842.1933	132.1347	-0.0436	0.0482	0.1656	-0.1188	0.2002	-0.3398	1
5730400	2997.4975	1842.2071	132.1611	-0.0532	0.1044	0.0833	-0.0227	0.3619	-0.4981	1
5730420	2997.4869	1842.2351	132.1680	-0.0301	0.1845	-0.0224	0.2275	0.4745	-0.5846	1
5730440	2997.4855	1842.2810	132.1521	0.0378	0.2689	-0.1354	0.4835	0.4274	-0.5862	1
5730460	2997.5020	1842.3426	132.1139	0.1333	0.3256	-0.2309	0.5413	0.1890	-0.4265	1
5730480	2997.5388	1842.4112	132.0598	0.2209	0.3293	-0.2786	0.3753	-0.1506	-0.0849	1
5730500	2997.5904	1842.4744	132.0024	0.2800	0.2787	-0.2617	0.1949	-0.4008	0.2827	1
5730520	2997.6508	1842.5227	131.9551	0.3166	0.1992	-0.1957	0.1504	-0.4664	0.4513	1
5730540	2997.7170	1842.5540	131.9241	0.3371	0.1299	-0.1198	0.0932	-0.2871	0.3763	1
5730560	2997.7856	1842.5746	131.9072	0.3207	0.1051	-0.0726	-0.1831	0.0109	0.1343	1
5730580	2997.8453	1842.5961	131.8951	0.2314	0.1431	-0.0802	-0.6800	0.3642	-0.1757	1
5730600	2997.8781	1842.6319	131.8751	0.0559	0.2464	-0.1648	-1.1397	0.6911	-0.6232	1
5730620	2997.8677	1842.6946	131.8292	-0.1691	0.4007	-0.3508	-1.2447	0.9066	-1.2155	1
5730640	2997.8105	1842.7922	131.7348	-0.3723	0.5739	-0.6435	-0.9022	0.9097	-1.7888	1
5730660	2997.7188	1842.9242	131.5718	-0.4924	0.7177	-0.9950	-0.3139	0.6151	-1.9209	1
5730680	2997.6135	1843.0793	131.3368	-0.5203	0.7852	-1.2975	0.1175	0.0971	-1.3222	1
5730700	2997.5107	1843.2382	131.0527	-0.4962	0.7561	-1.4357	0.2079	-0.4194	-0.1495	1
