# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	11. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	D
# Flight type and number:	Free Flight 3
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1661820	2993.4782	1856.1736	59.2409	0.4474	0.2002	63.7829	0.0000	0.0000	0.0000	1
1661840	2993.5676	1856.2136	71.9975	0.5310	0.2381	67.1071	1.0247	0.4922	54.4933	0
1661860	2993.6906	1856.2688	86.0838	0.7072	0.3045	68.8693	0.9175	0.3040	-18.5198	0
1661880	2993.8505	1856.3354	99.5453	0.8799	0.3295	60.3170	0.8577	0.0039	-74.1346	1
1661900	2994.0425	1856.4006	110.2106	1.0041	0.2755	43.6766	0.4644	-0.5325	-104.3643	0
1661920	2994.2521	1856.4457	117.0159	1.0412	0.1411	25.6763	-0.0783	-0.8960	-87.4061	1
1661940	2994.4590	1856.4571	120.4811	0.9787	-0.0319	12.3404	-0.5634	-0.9256	-47.0336	1
1661960	2994.6436	1856.4329	121.9521	0.8282	-0.1942	4.8932	-1.0030	-0.7435	-23.5896	1
1661980	2994.7902	1856.3794	122.4384	0.6245	-0.3177	1.5831	-1.1220	-0.4954	-6.3103	1
1662000	2994.8934	1856.3058	122.5853	0.4157	-0.3979	0.4965	-1.0309	-0.2880	-2.0765	1
1662020	2994.9565	1856.2203	122.6370	0.2399	-0.4439	0.2431	-0.7631	-0.1511	0.3284	1
1662040	2994.9894	1856.1283	122.6825	0.1179	-0.4674	0.2207	-0.4526	-0.0724	-0.1513	1
1662060	2995.0037	1856.0333	122.7253	0.0483	-0.4764	0.1940	-0.2139	-0.0048	-0.1505	1
1662080	2995.0087	1855.9377	122.7601	0.0161	-0.4788	0.1338	-0.0767	-0.0019	-0.4268	1
1662100	2995.0101	1855.8417	122.7788	0.0034	-0.4852	0.0404	-0.0296	-0.0403	-0.5694	0
1662120	2995.0101	1855.7436	122.7763	-0.0014	-0.5070	-0.0573	-0.0118	-0.1651	-0.4740	1
1662140	2995.0095	1855.6390	122.7559	-0.0029	-0.5502	-0.1248	-0.0050	-0.2777	-0.2196	1
1662160	2995.0089	1855.5235	122.7264	0.0005	-0.6113	-0.1509	0.0185	-0.3368	-0.0114	1
1662180	2995.0098	1855.3944	122.6955	0.0218	-0.6897	-0.1491	0.1534	-0.4337	0.0614	1
1662200	2995.0176	1855.2477	122.6667	0.0810	-0.7884	-0.1362	0.4185	-0.5720	0.0756	1
1662220	2995.0422	1855.0790	122.6410	0.1852	-0.8937	-0.1192	0.6766	-0.5584	0.1007	1
1662240	2995.0917	1854.8902	122.6190	0.3037	-0.9639	-0.1025	0.6256	-0.2313	0.0816	1
1662260	2995.1636	1854.6935	122.6000	0.3749	-0.9544	-0.0941	0.1777	0.3123	0.0123	1
1662280	2995.2417	1854.5084	122.5814	0.3517	-0.8589	-0.0976	-0.4226	0.7231	-0.0645	1
1662300	2995.3043	1854.3499	122.5610	0.2393	-0.7186	-0.1046	-0.7909	0.7835	-0.0306	1
1662320	2995.3374	1854.2210	122.5396	0.0820	-0.5885	-0.1037	-0.8535	0.5696	0.0430	1
1662340	2995.3371	1854.1145	122.5195	-0.0808	-0.4992	-0.0974	-0.7936	0.3182	0.0561	1
1662360	2995.3050	1854.0213	122.5006	-0.2349	-0.4505	-0.1057	-0.7425	0.1402	-0.0913	1
1662380	2995.2431	1853.9343	122.4772	-0.3791	-0.4282	-0.1538	-0.7131	0.0603	-0.3629	1
1662400	2995.1534	1853.8500	122.4391	-0.5037	-0.4185	-0.2562	-0.5752	0.0158	-0.6702	1
1662420	2995.0416	1853.7669	122.3747	-0.5877	-0.4083	-0.4071	-0.2961	0.0612	-0.8883	0
1662440	2994.9183	1853.6867	122.2762	-0.6152	-0.3849	-0.5786	0.0303	0.1642	-0.8988	1
1662460	2994.7955	1853.6130	122.1433	-0.5922	-0.3444	-0.7307	0.2526	0.2649	-0.6815	0
1662480	2994.6814	1853.5489	121.9839	-0.5467	-0.3005	-0.8313	0.2615	0.2186	-0.3401	1
1662500	2994.5769	1853.4928	121.8108	-0.5104	-0.2758	-0.8714	0.1323	0.0514	-0.0273	0
1662520	2994.4773	1853.4386	121.6354	-0.5022	-0.2809	-0.8681	-0.0454	-0.1300	0.1157	1
1662540	2994.3760	1853.3804	121.4635	-0.5282	-0.3016	-0.8511	-0.2042	-0.1348	0.0927	0
1662560	2994.2660	1853.3180	121.2949	-0.5948	-0.3077	-0.8405	-0.4460	0.0342	0.0064	1
1662580	2994.1381	1853.2573	121.1273	-0.7053	-0.2779	-0.8327	-0.6957	0.2675	0.0255	0
1662600	2993.9839	1853.2068	120.9619	-0.8354	-0.2144	-0.8048	-0.7161	0.4110	0.2155	1
1662620	2993.8039	1853.1716	120.8054	-0.9254	-0.1391	-0.7387	-0.3058	0.3880	0.4634	1
