# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	11. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	G
# Flight type and number:	Free Flight 3
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1671440	3002.7779	1849.5919	122.6033	0.3355	-0.6621	-4.5983	0.0000	0.0000	0.0000	1
1671460	3002.8450	1849.4594	121.6837	0.2445	-0.6455	-4.2556	-1.0380	0.1296	3.3711	1
1671480	3002.8757	1849.3337	120.9011	0.0276	-0.5835	-3.2402	-1.3054	0.4791	7.0751	0
1671500	3002.8560	1849.2260	120.3876	-0.2188	-0.4742	-1.7560	-1.3011	0.6755	8.6956	1
1671520	3002.7882	1849.1440	120.1987	-0.4078	-0.3481	-0.2910	-0.7119	0.6539	6.8274	1
1671540	3002.6929	1849.0868	120.2712	-0.4772	-0.2438	0.6910	0.0288	0.4404	3.2069	1
1671560	3002.5973	1849.0465	120.4751	-0.4293	-0.1867	1.0665	0.5552	0.1095	0.0514	1
1671580	3002.5212	1849.0121	120.6978	-0.3164	-0.1682	1.0567	0.6674	0.0221	-0.5855	1
1671600	3002.4708	1848.9792	120.8978	-0.1916	-0.1584	0.9056	0.6305	0.0144	-1.1263	1
1671620	3002.4445	1848.9488	121.0601	-0.0851	-0.1235	0.7502	0.4408	0.2970	-0.5580	1
1671640	3002.4367	1848.9298	121.1978	-0.0005	-0.0475	0.6539	0.3673	0.5124	-0.3182	1
1671660	3002.4443	1848.9298	121.3216	0.0797	0.0464	0.5854	0.4060	0.5015	-0.2681	0
1671680	3002.4686	1848.9483	121.4320	0.1697	0.1184	0.4877	0.5082	0.2679	-0.6227	1
1671700	3002.5122	1848.9771	121.5167	0.2603	0.1418	0.3191	0.4582	-0.0406	-1.0920	1
1671720	3002.5728	1849.0051	121.5596	0.3209	0.1194	0.0961	0.2000	-0.2360	-1.2709	0
1671740	3002.6406	1849.0249	121.5551	0.3228	0.0776	-0.1117	-0.1664	-0.2298	-0.9448	1
1671760	3002.7019	1849.0361	121.5150	0.2582	0.0434	-0.2319	-0.5129	-0.1355	-0.2962	1
1671780	3002.7439	1849.0422	121.4623	0.1466	0.0315	-0.2438	-0.6750	0.0084	0.2613	0
1671800	3002.7605	1849.0487	121.4174	0.0291	0.0471	-0.1904	-0.5911	0.1527	0.4059	1
1671820	3002.7555	1849.0611	121.3862	-0.0437	0.0871	-0.1405	-0.2080	0.2677	0.1649	1
1671840	3002.7430	1849.0835	121.3612	-0.0353	0.1377	-0.1338	0.3002	0.2854	-0.1237	1
1671860	3002.7414	1849.1162	121.3326	0.0493	0.1741	-0.1592	0.6360	0.1224	-0.2089	1
1671880	3002.7627	1849.1532	121.2975	0.1638	0.1741	-0.1775	0.6025	-0.1230	-0.0262	1
1671900	3002.8069	1849.1858	121.2616	0.2592	0.1377	-0.1610	0.3790	-0.2828	0.2020	1
1671920	3002.8664	1849.2083	121.2331	0.3168	0.0861	-0.1128	0.1789	-0.2776	0.3202	0
1671940	3002.9337	1849.2203	121.2165	0.3440	0.0425	-0.0524	0.0671	-0.1714	0.3089	1
1671960	3003.0040	1849.2253	121.2122	0.3531	0.0156	0.0061	0.0199	-0.0876	0.2759	1
