# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	13. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	I
# Flight type and number:	Free Flight 5
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1857020	3027.4544	1826.2034	127.9667	-3.4278	2.7724	0.0529	0.0000	0.0000	0.0000	1
1857040	3026.7689	1826.7578	127.9773	-3.9600	3.1824	0.0501	-6.8311	5.2835	-0.0293	1
1857060	3025.8704	1827.4763	127.9867	-4.9587	3.9439	0.0428	-4.6075	3.4686	-0.0521	1
1857080	3024.7854	1828.3354	127.9944	-5.6757	4.4716	0.0359	-2.7263	1.9290	-0.0321	1
1857100	3023.6001	1829.2650	128.0011	-5.8933	4.6000	0.0376	0.4809	-0.6063	0.0384	1
1857120	3022.4281	1830.1754	128.0094	-5.6134	4.3395	0.0527	2.7757	-2.3772	0.1199	1
1857140	3021.3548	1831.0008	128.0222	-5.0524	3.8706	0.0765	3.2400	-2.6436	0.1464	1
1857160	3020.4071	1831.7236	128.0400	-4.4455	3.3844	0.0945	3.0964	-2.4237	0.0592	1
1857180	3019.5766	1832.3545	128.0600	-3.9476	3.0011	0.0940	1.9581	-1.4583	-0.0645	1
1857200	3018.8281	1832.9241	128.0776	-3.5954	2.7443	0.0743	1.3616	-0.9460	-0.1532	1
1857220	3018.1385	1833.4522	128.0897	-3.2980	2.5401	0.0465	1.4387	-0.9602	-0.1492	1
1857240	3017.5089	1833.9401	128.0962	-2.9613	2.3122	0.0230	1.8847	-1.2658	-0.0942	1
1857260	3016.9539	1834.3771	128.0989	-2.5729	2.0407	0.0089	2.2181	-1.5952	-0.0411	1
1857280	3016.4797	1834.7564	128.0998	-2.2547	1.8109	0.0027	1.3525	-1.0267	-0.0151	0
1857300	3016.0520	1835.1015	128.1000	-2.2322	1.8155	0.0006	-0.6441	0.5854	0.0031	1
1857320	3015.5868	1835.4826	128.1000	-2.8297	2.3778	-0.0042	-4.4146	4.0826	-0.0305	1
1857340	3014.9201	1836.0526	128.0983	-4.5613	4.0313	-0.0248	-11.9092	11.4211	-0.1307	1
1857360	3013.7623	1837.0951	128.0901	-7.8774	7.2553	-0.0911	-21.6296	21.1086	-0.4335	1
1857380	3011.7692	1838.9547	128.0619	-12.4357	11.7629	-0.2591	-26.8591	26.7080	-1.1253	1
1857400	3008.7880	1841.8003	127.9864	-16.6125	16.0185	-0.5921	-19.1448	19.9515	-2.1608	1
1857420	3005.1242	1845.3621	127.8251	-18.2165	17.8917	-1.1042	1.0433	0.9308	-3.1153	0
1857440	3001.5014	1848.9569	127.5448	-16.2124	16.2917	-1.7029	21.1236	-18.7260	-3.2171	1
1857460	2998.6392	1851.8788	127.1439	-11.6736	12.1205	-2.2016	28.5554	-26.9790	-2.1004	0
1857480	2996.8320	1853.8051	126.6641	-6.8213	7.4461	-2.4235	22.8914	-22.6784	-0.2195	1
1857500	2995.9107	1854.8572	126.1745	-3.2865	3.8874	-2.3123	12.7785	-13.4486	1.5016	0
1857520	2995.5174	1855.3601	125.7392	-1.3794	1.8614	-1.9562	5.1863	-5.9108	2.3643	1
1857540	2995.3589	1855.6018	125.3920	-0.5886	0.9657	-1.5203	1.7117	-2.0803	2.2538	0
1857560	2995.2819	1855.7463	125.1311	-0.3540	0.6678	-1.1516	0.1771	-0.3427	1.5587	1
1857580	2995.2173	1855.8689	124.9314	-0.3653	0.6107	-0.9244	-0.5542	0.1529	0.6955	0
1857600	2995.1358	1855.9906	124.7613	-0.4551	0.5680	-0.8290	-0.5012	-0.3971	0.1084	1
1857620	2995.0353	1856.0961	124.5998	-0.5273	0.4322	-0.7822	-0.2896	-0.9982	0.1470	0
1857640	2994.9249	1856.1635	124.4484	-0.5359	0.2156	-0.6703	0.1736	-1.3220	0.8382	1
1857660	2994.8210	1856.1823	124.3316	-0.4673	0.0000	-0.4258	0.5679	-0.9964	1.6754	0
