# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	19. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	M
# Flight type and number:	Free Flight 7
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
2876940	2985.1174	1844.6597	74.8853	1.9675	-3.1084	69.2875	0.0000	0.0000	0.0000	1
2876960	2985.5109	1844.0380	88.7428	1.9006	-3.1085	68.9132	-0.4035	-0.6302	9.3113	0
2876980	2985.8776	1843.4163	102.4506	1.6110	-2.8792	63.0823	-2.3991	2.5170	-59.7061	1
2877000	2986.1553	1842.8864	113.9758	1.0761	-2.2447	48.4912	-3.3607	4.3250	-97.8758	1
2877020	2986.3080	1842.5185	121.8470	0.4892	-1.4158	30.2180	-2.8964	4.4871	-96.8716	1
2877040	2986.3510	1842.3201	126.0630	0.0614	-0.6798	14.8560	-1.5250	3.1569	-62.9461	1
2877060	2986.3326	1842.2465	127.7894	-0.1264	-0.1878	5.7351	-0.2010	1.6160	-24.7563	1
2877080	2986.3004	1842.2449	128.3570	-0.1379	0.1098	1.6056	0.2574	1.1675	-11.8714	1
2877100	2986.2774	1842.2904	128.4317	-0.0650	0.3095	0.0741	0.5519	0.7804	-1.6829	1
2877120	2986.2744	1842.3687	128.3866	0.0330	0.4533	-0.2097	0.5265	0.6287	0.6375	1
2877140	2986.2906	1842.4718	128.3478	0.1032	0.5532	-0.1762	0.2330	0.4142	0.0717	1
2877160	2986.3157	1842.5900	128.3161	0.1121	0.5896	-0.1471	-0.1360	-0.0037	0.1436	1
2877180	2986.3355	1842.7076	128.2890	0.0555	0.5413	-0.1303	-0.4789	-0.4976	0.0349	1
2877200	2986.3379	1842.8065	128.2640	-0.0387	0.4191	-0.1197	-0.5541	-0.8031	0.0414	1
2877220	2986.3200	1842.8752	128.2411	-0.1232	0.2652	-0.1035	-0.3529	-0.8225	0.1130	1
2877240	2986.2886	1842.9126	128.2226	-0.1644	0.1276	-0.0771	-0.0539	-0.6107	0.1655	1
2877260	2986.2542	1842.9263	128.2103	-0.1623	0.0412	-0.0476	0.1154	-0.2874	0.1498	1
2877280	2986.2237	1842.9291	128.2036	-0.1357	0.0272	-0.0257	0.1721	0.1270	0.0796	1
2877300	2986.1999	1842.9372	128.2000	-0.0972	0.0954	-0.0179	0.2151	0.5756	0.0004	1
2877320	2986.1848	1842.9672	128.1964	-0.0513	0.2304	-0.0257	0.2569	0.8654	-0.0813	1
2877340	2986.1794	1843.0293	128.1897	-0.0051	0.3827	-0.0470	0.2238	0.7681	-0.1439	1
2877360	2986.1828	1843.1203	128.1776	0.0334	0.4948	-0.0743	0.1541	0.3982	-0.1542	1
2877380	2986.1928	1843.2273	128.1600	0.0681	0.5408	-0.0940	0.1625	0.0271	-0.0660	1
2877400	2986.2100	1843.3367	128.1400	0.1126	0.5364	-0.0940	0.2735	-0.1331	0.0663	1
2877420	2986.2378	1843.4418	128.1224	0.1712	0.5134	-0.0743	0.3384	-0.1333	0.1527	1
2877440	2986.2785	1843.5420	128.1103	0.2318	0.4933	-0.0465	0.2931	-0.0784	0.1494	1
2877460	2986.3306	1843.6392	128.1038	0.2815	0.4848	-0.0230	0.2050	-0.0104	0.0940	1
2877480	2986.3911	1843.7359	128.1011	0.3189	0.4904	-0.0089	0.1548	0.0663	0.0418	1
2877500	2986.4581	1843.8353	128.1002	0.3504	0.5089	-0.0027	0.1513	0.1314	0.0128	1
2877520	2986.5313	1843.9395	128.1000	0.3806	0.5332	-0.0006	0.1539	0.1343	0.0055	1
2877540	2986.6104	1844.0486	128.1000	0.4095	0.5516	0.0000	0.1318	0.0605	-0.0015	1
2877560	2986.6951	1844.1602	128.1000	0.4386	0.5598	0.0000	0.1530	0.0032	0.0004	1
2877580	2986.7858	1844.2725	128.1000	0.4701	0.5666	0.0000	0.1705	0.0376	-0.0001	1
2877600	2986.8831	1844.3868	128.1000	0.4992	0.5845	0.0000	0.1374	0.1405	0.0000	1
2877620	2986.9855	1844.5063	128.1000	0.5191	0.6135	0.0000	0.0547	0.1816	-0.0000	1
2877640	2987.0907	1844.6322	128.1000	0.5350	0.6374	0.0000	0.0643	0.0940	0.0000	1
2877660	2987.1995	1844.7612	128.1000	0.5676	0.6388	0.0000	0.2214	-0.0838	-0.0000	1
2877680	2987.3178	1844.8877	128.1000	0.6370	0.6198	0.0000	0.4758	-0.1528	0.0000	1
2877700	2987.4543	1845.0091	128.1000	0.7401	0.6037	0.0000	0.6085	-0.0513	-0.0000	1
2877720	2987.6138	1845.1291	128.1000	0.8498	0.6124	0.0000	0.5451	0.1385	0.0000	1
2877740	2987.7942	1845.2541	128.1000	0.9356	0.6450	0.0000	0.3400	0.2436	-0.0000	1
2877760	2987.9881	1845.3871	128.1000	0.9814	0.6702	0.0000	0.1126	0.0936	0.0000	1
2877780	2988.1868	1845.5222	128.1000	0.9888	0.6426	0.0000	-0.0624	-0.3109	-0.0000	1
2877800	2988.3836	1845.6442	128.1000	0.9698	0.5314	0.0000	-0.1463	-0.8158	0.0000	1
2877820	2988.5747	1845.7348	128.1000	0.9349	0.3462	0.0000	-0.2098	-1.1270	-0.0000	1
2877840	2988.7575	1845.7827	128.1000	0.8904	0.1369	0.0000	-0.2491	-1.0870	0.0000	1
2877860	2988.9308	1845.7895	128.1000	0.8445	-0.0326	0.0000	-0.2307	-0.6777	-0.0000	1
2877880	2989.0953	1845.7696	128.1000	0.8083	-0.1245	0.0000	-0.1436	-0.2178	0.0001	1
2877900	2989.2541	1845.7397	128.1000	0.7871	-0.1482	0.0000	-0.0512	0.0488	-0.0004	1
2877920	2989.4102	1845.7103	128.1000	0.7715	-0.1365	0.0000	-0.0660	0.1012	0.0015	1
2877940	2989.5627	1845.6851	128.1000	0.7416	-0.1050	-0.0006	-0.2064	0.1716	-0.0055	1
2877960	2989.7068	1845.6683	128.0998	0.6830	-0.0350	-0.0027	-0.3801	0.4764	-0.0128	1
2877980	2989.8359	1845.6711	128.0989	0.5949	0.0951	-0.0089	-0.5221	0.8599	-0.0418	1
2878000	2989.9448	1845.7064	128.0962	0.4898	0.2631	-0.0230	-0.5640	0.9520	-0.0940	1
2878020	2990.0319	1845.7764	128.0897	0.3873	0.3992	-0.0465	-0.4960	0.5439	-0.1494	1
2878040	2990.0997	1845.8661	128.0776	0.3071	0.4331	-0.0743	-0.3285	-0.1700	-0.1527	1
2878060	2990.1547	1845.9496	128.0600	0.2618	0.3451	-0.0940	-0.1256	-0.7894	-0.0664	1
2878080	2990.2045	1846.0041	128.0400	0.2526	0.1766	-0.0940	0.0481	-1.0287	0.0664	1
2878100	2990.2558	1846.0202	128.0224	0.2714	-0.0002	-0.0743	0.1658	-0.8477	0.1527	1
2878120	2990.3130	1846.0040	128.0103	0.3024	-0.1246	-0.0465	0.1827	-0.4381	0.1494	1
2878140	2990.3767	1845.9704	128.0038	0.3243	-0.1724	-0.0230	0.0690	-0.0059	0.0940	1
2878160	2990.4427	1845.9351	128.0011	0.3198	-0.1615	-0.0089	-0.1109	0.2012	0.0418	1
2878180	2990.5046	1845.9058	128.0002	0.2874	-0.1368	-0.0027	-0.2451	0.1164	0.0128	1
2878200	2990.5577	1845.8803	128.0000	0.2446	-0.1367	-0.0006	-0.2309	-0.1023	0.0055	1
2878220	2990.6025	1845.8511	128.0000	0.2163	-0.1699	0.0000	-0.0746	-0.2652	-0.0015	1
2878240	2990.6442	1845.8124	128.0000	0.2127	-0.2196	0.0000	0.0710	-0.2701	0.0004	1
2878260	2990.6875	1845.7633	128.0000	0.2165	-0.2678	0.0000	0.0321	-0.2083	-0.0001	1
2878280	2990.7308	1845.7053	128.0000	0.1950	-0.3145	0.0000	-0.2111	-0.2356	0.0000	1
2878300	2990.7655	1845.6375	128.0000	0.1301	-0.3694	0.0000	-0.4656	-0.3131	-0.0000	1
2878320	2990.7829	1845.5575	128.0000	0.0361	-0.4323	0.0000	-0.5399	-0.3416	0.0000	0
2878340	2990.7800	1845.4645	128.0000	-0.0542	-0.4906	0.0000	-0.4055	-0.2651	-0.0000	0
2878360	2990.7612	1845.3612	128.0000	-0.1170	-0.5318	0.0000	-0.2224	-0.1495	0.0000	0
2878380	2990.7332	1845.2518	128.0000	-0.1501	-0.5537	0.0000	-0.0881	-0.0565	-0.0000	0
2878400	2990.7012	1845.1397	128.0000	-0.1636	-0.5629	0.0000	-0.0287	-0.0221	0.0000	0
2878420	2990.6677	1845.0267	128.0000	-0.1680	-0.5660	0.0000	-0.0065	-0.0042	-0.0000	0
2878440	2990.6340	1844.9134	128.0000	-0.1689	-0.5666	0.0000	0.0017	0.0011	0.0000	0
2878460	2990.6002	1844.8000	128.0000	-0.1689	-0.5666	0.0000	-0.0005	-0.0003	0.0000	0
