# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	02. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	A
# Flight type and number:	Free Flight 2
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
2171820	2995.0182	1851.0984	128.0000	0.1814	0.0118	0.0000	0.0000	0.0000	0.0000	1
2171840	2995.0545	1851.1007	128.0000	0.1970	-0.0157	0.0000	0.1971	-0.2733	0.0000	0
2171860	2995.0970	1851.0921	128.0000	0.2281	-0.0976	0.0000	0.1458	-0.5566	-0.0000	1
2171880	2995.1457	1851.0617	128.0000	0.2573	-0.2214	0.0000	0.1519	-0.7617	0.0000	1
2171900	2995.1999	1851.0035	128.0000	0.2755	-0.3423	0.0000	0.0631	-0.5655	-0.0000	1
2171920	2995.2559	1850.9248	128.0000	0.2679	-0.4021	0.0000	-0.1243	-0.0615	0.0000	1
2171940	2995.3070	1850.8427	128.0000	0.2272	-0.3851	0.0000	-0.3065	0.3101	-0.0000	1
2171960	2995.3468	1850.7707	128.0000	0.1676	-0.3299	0.0000	-0.3482	0.3406	0.0000	1
2171980	2995.3741	1850.7107	128.0000	0.1201	-0.2870	0.0000	-0.1768	0.1214	-0.0000	1
2172000	2995.3949	1850.6559	128.0000	0.1103	-0.2760	0.0000	0.0777	-0.0489	0.0000	1
2172020	2995.4182	1850.6003	128.0000	0.1402	-0.2814	0.0000	0.2554	-0.0433	-0.0000	1
2172040	2995.4509	1850.5434	128.0000	0.1923	-0.2822	0.0000	0.3054	0.0165	0.0000	1
