# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	11. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	H
# Flight type and number:	Free Flight 3
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1674420	3000.8888	1851.6537	59.2531	1.1041	0.7773	63.0423	0.0000	0.0000	0.0000	1
1674440	3001.1096	1851.8091	71.8615	1.3495	1.1920	65.8997	3.0117	4.7889	49.2942	0
1674460	3001.4286	1852.1304	85.6129	1.8566	2.1603	66.4740	2.6796	5.7261	-25.7337	0
1674480	3001.8523	1852.6732	98.4511	2.2901	3.2116	56.3276	1.9718	5.5231	-83.3412	1
1674500	3002.3446	1853.4151	108.1440	2.4285	3.8952	38.0212	-0.2623	2.0442	-112.7066	0
1674520	3002.8237	1854.2313	113.6596	2.1213	3.8590	18.7462	-2.9217	-2.5451	-92.4070	1
1674540	3003.1932	1854.9587	115.6424	1.4196	3.1557	4.8825	-4.4868	-5.1898	-47.5953	0
1674560	3003.3915	1855.4936	115.6126	0.5355	2.1435	-2.1846	-4.7976	-5.5690	-19.1033	1
1674580	3003.4074	1855.8161	114.7686	-0.2839	1.1744	-4.2881	-3.6997	-4.3952	1.8786	1
1674600	3003.2780	1855.9634	113.8974	-0.8668	0.4204	-3.6809	-2.1889	-3.1311	7.5049	1
1674620	3003.0606	1855.9842	113.2963	-1.1648	-0.0997	-2.2142	-0.7380	-2.0417	8.6223	1
1674640	3002.8121	1855.9235	113.0117	-1.2045	-0.4009	-0.8635	0.4588	-0.9495	5.4847	1
1674660	3002.5788	1855.8239	112.9509	-1.0580	-0.5029	0.0004	1.2014	0.0163	3.0025	1
1674680	3002.3889	1855.7223	113.0118	-0.8364	-0.4551	0.3947	1.2260	0.5886	0.7726	0
1674700	3002.2443	1855.6418	113.1087	-0.6540	-0.3291	0.4281	0.6997	0.7925	-0.7017	1
