# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	13. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	C
# Flight type and number:	Free Flight 5
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1818420	3041.3986	1854.5132	75.2444	-3.1441	-11.6595	70.3764	0.0000	0.0000	0.0000	1
1818440	3040.7698	1852.1813	89.3196	-3.6198	-12.4680	70.1124	-5.9085	-11.5080	11.0915	0
1818460	3039.9507	1849.5260	103.2893	-4.6023	-13.5870	64.3441	-4.9057	-2.4801	-60.2092	1
1818480	3038.9289	1846.7465	115.0573	-5.5811	-13.6457	49.4588	-4.8795	2.8024	-100.5056	1
1818500	3037.7183	1844.0677	123.0728	-6.4424	-12.8227	30.5982	-3.8946	6.3772	-100.6355	1
1818520	3036.3519	1841.6174	127.2966	-7.1323	-11.6948	14.6324	-2.9050	5.9611	-65.7225	1
1818540	3034.8654	1839.3898	128.9258	-7.6774	-10.7769	5.1477	-2.5123	3.1798	-25.6552	1
1818560	3033.2810	1837.3067	129.3556	-8.1094	-10.1321	0.9347	-1.7273	2.9920	-11.5576	1
1818580	3031.6216	1835.3370	129.2997	-8.4764	-9.6449	-0.5202	-1.8178	1.8672	-0.9902	1
1818600	3029.8904	1833.4487	129.1476	-8.8345	-9.2659	-0.6962	-1.7797	1.7535	1.0992	1
1818620	3028.0878	1831.6306	129.0212	-9.1886	-8.9279	-0.5765	-1.7731	1.6483	0.4556	1
1818640	3026.2150	1829.8775	128.9169	-9.5303	-8.6226	-0.4814	-1.6646	1.4034	0.3955	1
1818660	3024.2757	1828.1816	128.8286	-9.8511	-8.3473	-0.4060	-1.5352	1.3006	0.3495	1
1818680	3022.2745	1826.5386	128.7545	-10.1542	-8.0782	-0.3366	-1.4709	1.3507	0.3459	1
1818700	3020.2140	1824.9503	128.6940	-10.4505	-7.7948	-0.2741	-1.4925	1.4873	0.2932	1
1818720	3018.0944	1823.4207	128.6449	-10.7372	-7.4971	-0.2249	-1.4248	1.5111	0.2054	1
1818740	3015.9191	1821.9514	128.6040	-10.9875	-7.1911	-0.1928	-1.1466	1.5213	0.1113	1
1818760	3013.6994	1820.5442	128.5678	-11.1659	-6.8552	-0.1757	-0.6653	1.7119	0.0479	1
1818780	3011.4528	1819.2093	128.5338	-11.2575	-6.4199	-0.1667	-0.2226	2.4743	0.0277	1
1818800	3009.1964	1817.9763	128.5011	-11.2747	-5.7936	-0.1582	0.0886	3.6669	0.0476	1
1818820	3006.9429	1816.8919	128.4705	-11.2369	-4.9040	-0.1438	0.3058	5.1638	0.0891	1
1818840	3004.7016	1816.0147	128.4436	-11.1544	-3.7130	-0.1202	0.5182	6.7432	0.1534	1
1818860	3002.4811	1815.4067	128.4224	-11.0280	-2.2209	-0.0922	0.7389	8.2617	0.1511	1
1818880	3000.2904	1815.1263	128.4067	-10.8520	-0.4841	-0.0722	0.9955	9.3392	0.0686	1
1818900	2998.1403	1815.2131	128.3935	-10.6112	1.3682	-0.0700	1.3716	9.4557	-0.0501	1
1818920	2996.0459	1815.6736	128.3787	-10.2851	3.1970	-0.0833	1.8727	8.9058	-0.1124	1
1818940	2994.0263	1816.4919	128.3602	-9.8666	4.9562	-0.0967	2.3448	8.5818	-0.0533	1
1818960	2992.0993	1817.6561	128.3400	-9.3703	6.6768	-0.0945	2.6560	8.6594	0.0718	1
1818980	2990.2781	1819.1626	128.3224	-8.8137	8.3181	-0.0743	2.8996	8.1216	0.1512	1
1819000	2988.5738	1820.9833	128.3103	-8.1935	9.6855	-0.0465	3.2720	5.9914	0.1498	1
1819020	2987.0008	1823.0368	128.3038	-7.4966	10.5571	-0.0230	3.6986	2.8186	0.0939	1
1819040	2985.5752	1825.2062	128.3011	-6.7257	10.8828	-0.0089	4.0585	0.1239	0.0418	0
1819060	2984.3105	1827.3899	128.3002	-5.9076	10.8229	-0.0027	4.1992	-1.1624	0.0128	1
1819080	2983.2121	1829.5353	128.3000	-5.0862	10.6185	-0.0006	4.0969	-1.2193	0.0055	1
1819100	2982.2760	1831.6373	128.3000	-4.3075	10.4663	0.0000	3.7479	-0.4796	-0.0014	1
1819120	2981.4891	1833.7219	128.3000	-3.6018	10.4693	0.0000	3.2958	0.5271	0.0000	1
1819140	2980.8353	1835.8250	128.3000	-2.9613	10.6202	0.0000	3.0254	1.1613	0.0014	1
1819160	2980.3046	1837.9700	128.3000	-2.3407	10.8203	-0.0006	3.0792	1.0896	-0.0055	1
