# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	13. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	J
# Flight type and number:	Free Flight 5
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1814200	3036.1543	1843.3865	136.4994	-3.2971	4.7357	16.1602	0.0000	0.0000	0.0000	1
1814220	3035.4949	1844.3336	139.7314	-2.6584	5.5232	17.4730	7.4134	9.7961	19.8863	1
1814240	3035.0910	1845.5957	143.4885	-1.1843	7.1363	18.7703	8.6682	8.0626	-0.7784	0
1814260	3035.0212	1847.1881	147.2395	0.3981	8.6810	17.0773	8.0382	7.4913	-17.6999	1
1814280	3035.2502	1849.0682	150.3195	1.5396	9.9171	12.7255	3.9944	5.1214	-29.0758	1
1814300	3035.6370	1851.1550	152.3297	1.9179	10.7604	7.5367	-0.3402	3.0387	-26.4486	1
1814320	3036.0173	1853.3723	153.3341	1.5743	11.3087	3.3672	-3.6140	2.3024	-16.0044	1
1814340	3036.2667	1855.6785	153.6766	0.7546	11.6544	0.7959	-4.8379	1.0756	-8.8286	1
1814360	3036.3192	1858.0340	153.6525	-0.3753	11.8480	-0.5351	-6.5833	0.8089	-3.6675	1
1814380	3036.1166	1860.4177	153.4626	-1.7173	11.9055	-1.0998	-7.0696	-0.1042	-1.3739	1
1814400	3035.6322	1862.7962	153.2126	-3.1572	11.7782	-1.2553	-7.4201	-1.1553	0.1544	1
1814420	3034.8538	1865.1290	152.9605	-4.6282	11.4528	-1.2227	-7.3626	-2.1441	0.4347	1
1814440	3033.7810	1867.3773	152.7235	-6.0930	10.9529	-1.1502	-7.2783	-2.9272	0.3792	1
1814460	3032.4166	1869.5101	152.5004	-7.5461	10.3178	-1.0976	-7.2619	-3.4803	0.1286	1
1814480	3030.7625	1871.5045	152.2844	-8.9736	9.5836	-1.0570	-7.1202	-3.9242	0.1809	1
1814500	3028.8271	1873.3436	152.0776	-10.3129	8.7881	-0.9865	-6.4623	-4.1054	0.5120	1
1814520	3026.6373	1875.0197	151.8898	-11.4615	7.9722	-0.8841	-5.1862	-4.1015	0.6345	1
1814540	3024.2425	1876.5324	151.7240	-12.3306	7.1640	-0.8144	-3.5496	-3.9928	0.2340	1
1814560	3021.7051	1877.8853	151.5641	-12.8944	6.3735	-0.8670	-2.0059	-3.9163	-0.6741	0
1814580	3019.0848	1879.0818	151.3772	-13.1964	5.6077	-1.0861	-0.8673	-3.7830	-1.5937	1
1814600	3016.4266	1880.1284	151.1297	-13.3169	4.8867	-1.4303	-0.2014	-3.4592	-2.0376	1
1814620	3013.7580	1881.0365	150.8051	-13.3337	4.2230	-1.7983	0.1201	-3.1287	-1.8215	1
1814640	3011.0931	1881.8176	150.4103	-13.2979	3.5882	-2.0916	0.2663	-3.1017	-1.1932	1
1814660	3008.4388	1882.4718	149.9684	-13.2290	2.9222	-2.2625	0.4146	-3.4770	-0.4861	1
1814680	3005.8015	1882.9864	149.5053	-13.1263	2.1826	-2.3234	0.6100	-3.9404	-0.0347	1
1814700	3003.1883	1883.3449	149.0390	-12.9916	1.3776	-2.3191	0.7762	-4.1824	0.1412	1
1814720	3000.6048	1883.5374	148.5777	-12.8475	0.5429	-2.2838	0.7333	-4.2130	0.2096	1
1814740	2998.0493	1883.5620	148.1255	-12.7290	-0.2954	-2.2171	0.4872	-4.1635	0.4030	1
1814760	2995.5132	1883.4193	147.6909	-12.6528	-1.1398	-2.0922	0.2302	-4.2336	0.7981	1
1814780	2992.9882	1883.1061	147.2887	-12.5918	-2.0191	-1.8871	0.2560	-4.4606	1.2787	1
1814800	2990.4765	1882.6116	146.9360	-12.4764	-2.9944	-1.6162	0.7425	-5.1263	1.5193	1
1814820	2987.9976	1881.9084	146.6422	-12.2198	-4.1593	-1.3271	1.6980	-6.3504	1.4654	1
1814840	2985.5886	1880.9479	146.4052	-11.7501	-5.6039	-1.0715	2.9370	-8.0521	1.1438	1
1814860	2983.2976	1879.6668	146.2136	-11.0337	-7.3403	-0.8801	4.2656	-9.5343	0.7680	1
1814880	2981.1751	1878.0118	146.0532	-10.0933	-9.2400	-0.7535	5.2769	-9.9031	0.4639	1
1814900	2979.2603	1875.9708	145.9122	-9.0044	-11.0592	-0.6753	5.7731	-8.7401	0.2902	1
1814920	2977.5734	1873.5881	145.7830	-7.8518	-12.5531	-0.6308	5.8185	-6.4029	0.1530	1
1814940	2976.1196	1870.9496	145.6598	-6.6703	-13.6092	-0.6183	5.9218	-4.0174	-0.0100	1
1814960	2974.9052	1868.1444	145.5357	-5.4275	-14.2923	-0.6459	6.4132	-2.5234	-0.2567	0
1814980	2973.9485	1865.2327	145.4015	-4.0816	-14.7493	-0.7156	7.0719	-1.8800	-0.4727	1
1815000	2973.2726	1862.2447	145.2494	-2.6471	-15.0746	-0.8109	7.4110	-1.3856	-0.5274	1
1815020	2972.8897	1859.2028	145.0771	-1.1944	-15.2750	-0.9081	7.2422	-0.6677	-0.4609	1
1815040	2972.7948	1856.1347	144.8862	0.2060	-15.3326	-0.9985	6.8203	0.1220	-0.4145	1
1815060	2972.9721	1853.0698	144.6777	1.5160	-15.2638	-1.0961	6.3011	0.6606	-0.5199	1
1815080	2973.4012	1850.0292	144.4478	2.7200	-15.1146	-1.2200	5.7512	0.8842	-0.7213	1
1815100	2974.0601	1847.0239	144.1897	3.8116	-14.9132	-1.3667	5.1606	1.1041	-0.8134	1
1815120	2974.9259	1844.0639	143.9011	4.7954	-14.6481	-1.4995	4.6368	1.4853	-0.6092	1
1815140	2975.9783	1841.1647	143.5899	5.6914	-14.2856	-1.5677	4.2865	2.0753	-0.1327	1
1815160	2977.2024	1838.3497	143.2740	6.5192	-13.7905	-1.5391	3.9865	2.8442	0.4275	1
1815180	2978.5860	1835.6485	142.9743	7.2835	-13.1460	-1.4173	3.6673	3.6183	0.8509	1
1815200	2980.1158	1833.0913	142.7071	7.9805	-12.3589	-1.2344	3.2998	4.2846	1.0498	1
1815220	2981.7782	1830.7049	142.4805	8.6142	-11.4438	-1.0314	3.0001	4.8669	1.0412	1
1815240	2983.5615	1828.5137	142.2945	9.2031	-10.4012	-0.8434	2.8494	5.5297	0.8792	1
1815260	2985.4594	1826.5444	142.1431	9.7678	-9.2184	-0.6945	2.7908	6.2867	0.6260	1
1815280	2987.4686	1824.8264	142.0167	10.3098	-7.8950	-0.5945	2.6808	7.0211	0.3641	1
1815300	2989.5833	1823.3864	141.9053	10.7992	-6.4739	-0.5380	2.3094	7.3375	0.1729	1
1815320	2991.7883	1822.2368	141.8015	11.1828	-5.0332	-0.5095	1.6245	7.1870	0.0816	1
1815340	2994.0564	1821.3731	141.7015	11.4070	-3.6381	-0.4916	0.6636	6.7964	0.0708	1
1815360	2996.3511	1820.7816	141.6049	11.4480	-2.3102	-0.4686	-0.2940	6.4493	0.1389	1
1815380	2998.6356	1820.4491	141.5141	11.3280	-1.0381	-0.4300	-1.0112	6.2618	0.2477	1
1815400	3000.8823	1820.3664	141.4329	11.1036	0.1802	-0.3764	-1.3415	5.9759	0.3148	1
1815420	3003.0771	1820.5211	141.3635	10.8342	1.3173	-0.3227	-1.4036	5.4588	0.2624	1
1815440	3005.2160	1820.8933	141.3038	10.5494	2.3403	-0.2896	-1.4266	4.7916	0.0880	1
1815460	3007.2968	1821.4573	141.2477	10.2419	3.2382	-0.2880	-1.5984	4.1514	-0.0805	1
1815480	3009.3127	1822.1886	141.1886	9.8855	4.0296	-0.3144	-1.9218	3.6960	-0.1984	1
1815500	3011.2510	1823.0691	141.1219	9.4554	4.7506	-0.3617	-2.3575	3.4569	-0.2772	1
1815520	3013.0949	1824.0888	141.0439	8.9397	5.4336	-0.4274	-2.8068	3.3455	-0.3841	1
1815540	3014.8269	1825.2426	140.9510	8.3413	6.0952	-0.5056	-3.1986	3.2738	-0.4320	1
1815560	3016.4314	1826.5269	140.8417	7.6716	6.7345	-0.5789	-3.5186	3.1420	-0.3381	1
1815580	3017.8955	1827.9364	140.7194	6.9408	7.3392	-0.6275	-3.7938	2.9313	-0.1594	1
1815600	3019.2078	1829.4626	140.5907	6.1517	7.8949	-0.6450	-4.0843	2.6446	0.0024	1
1815620	3020.3562	1831.0943	140.4614	5.2991	8.3905	-0.6388	-4.4354	2.3211	0.0728	1
1815640	3021.3274	1832.8188	140.3352	4.3810	8.8199	-0.6151	-4.7640	1.9761	0.1508	1
1815660	3022.1086	1834.6223	140.2154	3.4076	9.1797	-0.5685	-5.0070	1.6293	0.3052	1
1815680	3022.6904	1836.4907	140.1078	2.3998	9.4654	-0.4954	-5.1144	1.2391	0.4452	1
1815700	3023.0685	1838.4085	140.0173	1.3819	9.6741	-0.4066	-5.0972	0.8279	0.4818	1
1815720	3023.2432	1840.3603	139.9451	0.3726	9.8185	-0.3222	-5.0055	0.5533	0.3871	1
1815740	3023.2176	1842.3359	139.8884	-0.6212	9.9323	-0.2562	-4.9306	0.5224	0.2740	1
1815760	3022.9947	1844.3332	139.8427	-1.5975	10.0467	-0.2103	-4.8523	0.6184	0.1727	1
1815780	3022.5786	1846.3546	139.8042	-2.5429	10.1617	-0.1782	-4.6558	0.6101	0.1313	1
1815800	3021.9776	1848.3979	139.7714	-3.4279	10.2357	-0.1505	-4.2502	0.2318	0.1325	1
1815820	3021.2074	1850.4488	139.7440	-4.2240	10.2158	-0.1197	-3.7180	-0.3869	0.1715	1
1815840	3020.2880	1852.4842	139.7235	-4.9284	10.0789	-0.0838	-3.2740	-1.0274	0.1988	1
1815860	3019.2361	1854.4804	139.7105	-5.5662	9.8511	-0.0487	-3.0512	-1.3747	0.1667	1
1815880	3018.0615	1856.4246	139.7040	-6.1637	9.6002	-0.0208	-2.9252	-1.2684	0.1101	1
1815900	3016.7706	1858.3205	139.7022	-6.7179	9.4002	0.0006	-2.6914	-0.8131	0.0915	1
1815920	3015.3743	1860.1847	139.7042	-7.1876	9.2978	0.0219	-2.1229	-0.2164	0.1046	1
1815940	3013.8955	1862.0396	139.7109	-7.5084	9.2990	0.0510	-1.1839	0.2686	0.1874	1
1815960	3012.3709	1863.9043	139.7247	-7.6291	9.3833	0.0876	-0.0242	0.6280	0.2004	1
1815980	3010.8439	1865.7929	139.7460	-7.5511	9.5163	0.1214	0.9254	0.7904	0.1520	1
1816000	3009.3505	1867.7108	139.7732	-7.3413	9.6444	0.1448	1.3553	0.6169	0.0749	1
1816020	3007.9074	1869.6506	139.8039	-7.1008	9.6965	0.1618	1.2116	0.0209	0.0687	1
1816040	3006.5101	1871.5894	139.8380	-6.9217	9.6114	0.1850	0.6708	-0.8537	0.1538	1
1816060	3005.1387	1873.4952	139.8779	-6.8584	9.3809	0.2181	-0.0203	-1.5591	0.2027	1
1816080	3003.7668	1875.3418	139.9252	-6.9243	9.0621	0.2502	-0.6700	-1.7851	0.1335	1
1816100	3002.3690	1877.1200	139.9780	-7.1024	8.7368	0.2753	-1.1693	-1.5551	0.0907	1
1816120	3000.9258	1878.8365	140.0353	-7.3616	8.4521	0.3077	-1.4744	-1.2530	0.1864	1
1816140	2999.4244	1880.5008	140.1011	-7.6728	8.1892	0.3709	-1.6615	-1.2593	0.4233	1
1816160	2997.8567	1882.1122	140.1837	-8.0208	7.8881	0.4760	-1.8258	-1.6556	0.6498	1
1816180	2996.2161	1883.6561	140.2915	-8.3992	7.4960	0.6108	-1.9670	-2.2416	0.7557	1
1816200	2994.4970	1885.1106	140.4280	-8.8038	6.9971	0.7443	-2.0804	-2.7814	0.6368	1
1816220	2992.6945	1886.4549	140.5892	-9.2333	6.4070	0.8450	-2.2118	-3.1617	0.3975	1
1816240	2990.8037	1887.6734	140.7660	-9.6883	5.7485	0.8973	-2.3399	-3.4512	0.1148	1
1816260	2988.8192	1888.7543	140.9481	-10.1671	5.0390	0.9061	-2.4642	-3.6604	-0.0608	1
1816280	2986.7368	1889.6890	141.1284	-10.6587	4.2875	0.8866	-2.4917	-3.8511	-0.1409	1
1816300	2984.5557	1890.4693	141.3027	-11.1405	3.4911	0.8419	-2.3771	-4.0832	-0.2734	1
1816320	2982.2806	1891.0854	141.4652	-11.5833	2.6350	0.7557	-2.0983	-4.4484	-0.5524	1
1816340	2979.9224	1891.5233	141.6050	-11.9611	1.7033	0.6096	-1.7021	-4.8597	-0.9022	1
1816360	2977.4962	1891.7667	141.7090	-12.2616	0.6909	0.4010	-1.2872	-5.2778	-1.2191	1
1816380	2975.0178	1891.7996	141.7654	-12.4930	-0.3966	0.1500	-0.9860	-5.6101	-1.3577	1
1816400	2972.4990	1891.6081	141.7690	-12.6749	-1.5508	-0.1058	-0.8132	-5.9463	-1.2738	1
1816420	2969.9478	1891.1793	141.7231	-12.8159	-2.7612	-0.3244	-0.6324	-6.1945	-0.9689	1
1816440	2967.3727	1890.5037	141.6392	-12.8950	-4.0063	-0.4743	-0.2453	-6.3066	-0.5422	1
1816460	2964.7898	1889.5768	141.5334	-12.8647	-5.2625	-0.5493	0.4529	-6.2586	-0.1680	1
1816480	2962.2268	1888.3987	141.4195	-12.6719	-6.5305	-0.5705	1.4105	-6.3472	0.0234	1
1816500	2959.7210	1886.9646	141.3052	-12.2791	-7.8479	-0.5745	2.4985	-6.7459	-0.0080	1
1816520	2957.3151	1885.2595	141.1897	-11.6738	-9.2533	-0.5919	3.5710	-7.3232	-0.1526	1
1816540	2955.0515	1883.2633	141.0684	-10.8658	-10.7328	-0.6298	4.5572	-7.6265	-0.2591	1
1816560	2952.9688	1880.9664	140.9378	-9.8840	-12.1984	-0.6711	5.3445	-7.2765	-0.2081	1
1816580	2951.0979	1878.3839	140.8000	-8.7774	-13.5147	-0.6879	5.8274	-6.1008	0.0113	1
1816600	2949.4578	1875.5605	140.6626	-7.6060	-14.5609	-0.6656	5.9761	-4.4616	0.2295	1
1816620	2948.0555	1872.5596	140.5338	-6.4197	-15.2793	-0.6113	5.9250	-2.6854	0.3474	1
1816640	2946.8900	1869.4488	140.4181	-5.2415	-15.6883	-0.5426	5.8465	-1.2697	0.3587	1
1816660	2945.9589	1866.2843	140.3167	-4.0671	-15.8588	-0.4699	5.8597	-0.2995	0.3610	1
1816680	2945.2631	1863.1053	140.2302	-2.8767	-15.8674	-0.3899	6.0067	0.2996	0.4193	1
1816700	2944.8083	1859.9373	140.1608	-1.6497	-15.7653	-0.2924	6.2464	0.7517	0.5381	1
1816720	2944.6033	1856.7992	140.1132	-0.3798	-15.5734	-0.1683	6.4939	1.1722	0.7010	1
1816740	2944.6563	1853.7080	140.0934	0.9073	-15.2983	-0.0169	6.4839	1.5963	0.8324	1
1816760	2944.9662	1850.6799	140.1064	2.1519	-14.9532	0.1505	6.0909	1.9111	0.8795	1
1816780	2945.5171	1847.7267	140.1537	3.2829	-14.5696	0.3137	5.3083	1.9957	0.7839	1
1816800	2946.2793	1844.8520	140.2319	4.2520	-14.1843	0.4559	4.3779	1.8819	0.6415	1
1816820	2947.2179	1842.0530	140.3360	5.0617	-13.8079	0.5728	3.6272	1.8231	0.5238	1
1816840	2948.3040	1839.3289	140.4610	5.7616	-13.4084	0.6641	3.2472	2.0635	0.4051	1
1816860	2949.5225	1836.6896	140.6016	6.4187	-12.9300	0.7213	3.2460	2.6540	0.1927	1
1816880	2950.8715	1834.1568	140.7496	7.0748	-12.3368	0.7337	3.3328	3.2915	-0.0801	1
1816900	2952.3525	1831.7549	140.8951	7.7225	-11.6326	0.7099	3.2219	3.8006	-0.2251	1
1816920	2953.9605	1829.5038	141.0335	8.3227	-10.8438	0.6856	2.8451	4.1403	-0.0952	1
1816940	2955.6815	1827.4174	141.1694	8.8401	-10.0019	0.7008	2.3444	4.3316	0.2261	1
1816960	2957.4965	1825.5031	141.3138	9.2638	-9.1390	0.7669	1.8726	4.3535	0.4795	1
1816980	2959.3871	1823.7618	141.4761	9.6043	-8.2868	0.8630	1.4954	4.2089	0.5374	1
1817000	2961.3382	1822.1883	141.6590	9.8807	-7.4678	0.9583	1.2406	3.9877	0.4512	1
1817020	2963.3394	1820.7746	141.8594	10.1093	-6.6860	1.0320	1.0325	3.8018	0.2950	1
1817040	2965.3820	1819.5139	142.0718	10.2968	-5.9252	1.0784	0.8563	3.7552	0.1564	1
1817060	2967.4581	1818.4046	142.2908	10.4359	-5.1583	1.1035	0.5658	3.8750	0.0755	1
1817080	2969.5563	1817.4506	142.5132	10.5107	-4.3652	1.1168	0.2048	4.0628	0.0507	1
1817100	2971.6624	1816.6585	142.7375	10.5091	-3.5503	1.1223	-0.2203	4.1411	0.0109	1
1817120	2973.7600	1816.0305	142.9621	10.4316	-2.7420	1.1171	-0.5870	3.9973	-0.0537	1
1817140	2975.8350	1815.5617	143.1844	10.2956	-1.9695	1.0949	-0.8201	3.7476	-0.1505	1
1817160	2977.8782	1815.2427	143.4001	10.1264	-1.2472	1.0449	-0.9004	3.4814	-0.3219	1
1817180	2979.8856	1815.0628	143.6023	9.9380	-0.5801	0.9550	-0.9672	3.1960	-0.5832	1
1817200	2981.8535	1815.0107	143.7821	9.7236	0.0285	0.8334	-1.1423	2.8924	-0.7167	1
1817220	2983.7750	1815.0742	143.9357	9.4702	0.5765	0.7263	-1.4150	2.5909	-0.4789	1
1817240	2985.6415	1815.2413	144.0726	9.1940	1.0608	0.6959	-1.4541	2.2709	0.1375	0
1817260	2987.4526	1815.4985	144.2140	8.9511	1.4714	0.7577	-1.0828	1.8515	0.6026	1
1817280	2989.2220	1815.8299	144.3757	8.7952	1.8067	0.8489	-0.4706	1.4370	0.4820	1
1817300	2990.9707	1816.2212	144.5536	8.7203	2.1049	0.8825	-0.1351	1.4002	-0.0842	1
1817320	2992.7101	1816.6718	144.7287	8.6522	2.4420	0.8254	-0.3801	1.8582	-0.5758	1
1817340	2994.4316	1817.1980	144.8838	8.5042	2.8778	0.7198	-1.0429	2.4990	-0.6076	1
1817360	2996.1118	1817.8230	145.0166	8.2428	3.4168	0.6281	-1.6294	2.9607	-0.3384	1
1817380	2997.7287	1818.5647	145.1351	7.8944	4.0246	0.5682	-1.9390	3.1803	-0.1912	1
1817400	2999.2695	1819.4328	145.2439	7.5029	4.6671	0.5086	-2.0213	3.2655	-0.3392	1
1817420	3000.7299	1820.4316	145.3385	7.0955	5.3284	0.4171	-2.0578	3.3621	-0.5853	1
1817440	3002.1078	1821.5642	145.4107	6.6775	5.9947	0.2959	-2.1106	3.3563	-0.6783	1
1817460	3003.4008	1822.8294	145.4569	6.2439	6.6361	0.1713	-2.2196	3.1199	-0.6150	1
1817480	3004.6053	1824.2186	145.4792	5.7918	7.2189	0.0666	-2.3056	2.7413	-0.4241	1
1817500	3005.7176	1825.7170	145.4835	5.3240	7.7267	-0.0208	-2.3892	2.3065	-0.4094	1
1817520	3006.7349	1827.3093	145.4709	4.8500	8.1780	-0.1129	-2.3758	2.1085	-0.4611	1
1817540	3007.6576	1828.9882	145.4383	4.3825	8.6253	-0.2447	-2.3088	2.2638	-0.7508	1
1817560	3008.4879	1830.7594	145.3731	3.9266	9.1201	-0.4745	-2.2362	2.6671	-1.4347	1
1817580	3009.2282	1832.6362	145.2485	3.4726	9.6690	-0.8561	-2.2558	2.9243	-2.3984	1
1817600	3009.8770	1834.6270	145.0306	2.9944	10.2175	-1.3663	-2.4679	2.7155	-2.9838	1
1817620	3010.4260	1836.7232	144.7020	2.4639	10.6848	-1.8482	-2.8387	2.0431	-2.2653	1
1817640	3010.8625	1838.9009	144.2913	1.8863	11.0242	-2.0802	-3.0443	1.3219	-0.2679	1
1817660	3011.1805	1841.1329	143.8699	1.3211	11.2466	-1.9557	-2.7685	0.8249	1.7280	1
1817680	3011.3910	1843.3995	143.5091	0.8539	11.3906	-1.5837	-2.0111	0.5667	2.4358	1
1817700	3011.5221	1845.6891	143.2364	0.5437	11.4841	-1.1932	-1.0875	0.3560	1.7642	1
1817720	3011.6085	1847.9932	143.0318	0.3900	11.5382	-0.9461	-0.3522	0.1733	0.7076	1
1817740	3011.6781	1850.3044	142.8580	0.3435	11.5603	-0.8559	-0.0124	0.0314	0.0269	1
1817760	3011.7459	1852.6173	142.6894	0.3497	11.5591	-0.8417	0.1212	-0.0495	-0.0230	1
1817780	3011.8180	1854.9280	142.5213	0.3840	11.5382	-0.8288	0.1777	-0.1584	0.1240	1
1817800	3011.8995	1857.2326	142.3579	0.4735	11.4967	-0.7952	0.5771	-0.2464	0.2462	1
1817820	3012.0074	1859.5267	142.2032	0.6893	11.4301	-0.7580	1.4735	-0.4123	0.1875	1
1817840	3012.1752	1861.8046	142.0547	1.0804	11.3348	-0.7475	2.5158	-0.5478	-0.0655	1
1817860	3012.4395	1864.0606	141.9042	1.5967	11.2136	-0.7691	2.9465	-0.6695	-0.2220	1
