# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	25. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	I
# Flight type and number:	Free Flight 10
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
3840000	2993.8558	1850.7741	112.3363	-1.5686	1.6721	0.4577	0.0000	0.0000	0.0000	1
3840020	2993.5421	1851.1085	112.4278	-1.6947	1.9224	0.5324	-1.7764	3.3673	1.0022	1
3840040	2993.1779	1851.5431	112.5493	-1.8730	2.3313	0.6544	-0.4620	1.5498	0.4716	1
3840060	2992.7929	1852.0410	112.6896	-1.8763	2.4830	0.6952	0.4951	-0.0569	-0.0491	1
3840080	2992.4274	1852.5363	112.8273	-1.6954	2.3218	0.6282	1.4136	-1.7297	-0.6693	1
3840100	2992.1147	1852.9698	112.9409	-1.3950	1.9553	0.4851	1.7703	-2.2853	-0.8978	1
3840120	2991.8694	1853.3184	113.0214	-1.0651	1.5572	0.3346	1.6105	-1.8570	-0.7020	1
3840140	2991.6887	1853.5926	113.0747	-0.7624	1.2275	0.2303	1.4770	-1.4467	-0.3647	1
3840160	2991.5644	1853.8094	113.1135	-0.5252	0.9815	0.1895	0.9542	-0.9782	-0.0248	1
3840180	2991.4786	1853.9852	113.1505	-0.3817	0.7984	0.2019	0.4682	-0.7785	0.2009	1
3840200	2991.4117	1854.1288	113.1943	-0.3300	0.6387	0.2394	0.0166	-0.7566	0.2311	1
3840220	2991.3466	1854.2407	113.2463	-0.3473	0.4703	0.2689	-0.2717	-0.9306	0.1131	1
3840240	2991.2728	1854.3169	113.3018	-0.3851	0.2964	0.2628	-0.2337	-0.8860	-0.1527	1
3840260	2991.1926	1854.3593	113.3514	-0.3739	0.1531	0.2109	0.2412	-0.5938	-0.3975	1
3840280	2991.1232	1854.3781	113.3862	-0.2597	0.0594	0.1298	0.9060	-0.2714	-0.4775	1
3840300	2991.0887	1854.3830	113.4033	-0.0454	-0.0261	0.0526	1.3543	-0.4064	-0.3408	1
3840320	2991.1051	1854.3677	113.4072	0.2063	-0.1961	0.0041	1.3106	-1.1489	-0.1435	1
3840340	2991.1712	1854.3046	113.4049	0.4159	-0.5220	-0.0146	0.8722	-2.1522	-0.0103	1
3840360	2991.2714	1854.1589	113.4014	0.5338	-0.9768	-0.0197	0.3095	-2.6397	-0.0086	1
3840380	2991.3847	1853.9139	113.3971	0.5560	-1.4279	-0.0286	-0.1438	-2.1801	-0.0673	1
3840400	2991.4938	1853.5877	113.3899	0.5124	-1.7079	-0.0492	-0.3716	-0.8195	-0.1470	1
3840420	2991.5897	1853.2307	113.3774	0.4463	-1.7111	-0.0776	-0.3447	0.8374	-0.1573	1
3840440	2991.6723	1852.9033	113.3589	0.3861	-1.4626	-0.1035	-0.2445	1.9035	-0.1153	1
3840460	2991.7441	1852.6457	113.3360	0.3270	-1.0965	-0.1197	-0.2925	2.0243	-0.0403	1
3840480	2991.8031	1852.4647	113.3110	0.2439	-0.7559	-0.1298	-0.5126	1.4888	-0.0370	1
3840500	2991.8417	1852.3433	113.2841	0.1248	-0.5047	-0.1443	-0.7213	0.9646	-0.1031	1
3840520	2991.8530	1852.2628	113.2533	-0.0075	-0.3228	-0.1662	-0.6833	0.7812	-0.1332	1
3840540	2991.8387	1852.2142	113.2176	-0.1110	-0.1770	-0.1868	-0.4013	0.6938	-0.0916	1
3840560	2991.8086	1852.1920	113.1786	-0.1592	-0.0721	-0.1968	-0.0652	0.4096	-0.0081	1
3840580	2991.7750	1852.1853	113.1389	-0.1587	-0.0314	-0.1964	0.1234	-0.0032	0.0317	1
3840600	2991.7452	1852.1794	113.1000	-0.1348	-0.0518	-0.1951	0.1419	-0.2808	-0.0074	1
3840620	2991.7211	1852.1646	113.0609	-0.1021	-0.0886	-0.1986	0.1704	-0.2141	-0.0355	1
3840640	2991.7043	1852.1440	113.0205	-0.0527	-0.0735	-0.2035	0.2779	0.2662	-0.0273	1
3840660	2991.7000	1852.1352	112.9795	0.0381	0.0449	-0.2035	0.5792	0.9288	0.0282	1
3840680	2991.7196	1852.1619	112.9391	0.1951	0.2604	-0.1992	0.9919	1.3405	0.0306	1
3840700	2991.7780	1852.2394	112.8998	0.4136	0.5123	-0.1979	1.2853	1.3188	-0.0074	1
3840720	2991.8850	1852.3669	112.8600	0.6410	0.7250	-0.2048	1.1476	0.8922	-0.0661	1
3840740	2992.0345	1852.5294	112.8178	0.7936	0.8477	-0.2175	0.4892	0.3653	-0.0800	1
3840760	2992.2025	1852.7059	112.7730	0.8121	0.8594	-0.2265	-0.3174	-0.2425	-0.0233	1
3840780	2992.3593	1852.8731	112.7272	0.7002	0.7605	-0.2237	-0.8963	-0.8080	0.0455	1
3840800	2992.4825	1853.0101	112.6835	0.5047	0.5909	-0.2058	-1.1315	-1.0447	0.1340	1
3840820	2992.5612	1853.1095	112.6449	0.2673	0.4362	-0.1729	-1.2752	-0.6708	0.2003	1
3840840	2992.5895	1853.1846	112.6143	0.0154	0.3850	-0.1279	-1.3120	0.1030	0.2574	1
3840860	2992.5673	1853.2634	112.5938	-0.2108	0.4675	-0.0756	-1.0500	0.8103	0.2797	1
3840880	2992.5052	1853.3716	112.5841	-0.3584	0.6370	-0.0246	-0.4837	1.0548	0.2495	1
3840900	2992.4240	1853.5182	112.5839	-0.4004	0.8014	0.0156	0.1216	0.7446	0.1579	1
3840920	2992.3450	1853.6922	112.5903	-0.3678	0.8734	0.0436	0.3426	0.0578	0.0973	1
3840940	2992.2768	1853.8676	112.6013	-0.3322	0.8049	0.0716	0.1163	-0.7455	0.1497	1
