# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	26. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	C
# Flight type and number:	Free Flight 11
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
5730000	2993.6054	1848.6900	120.3937	-0.4833	0.0000	-0.0346	0.0000	0.0000	0.0000	1
5730020	2993.5087	1848.6900	120.3867	-0.5527	0.0000	-0.0466	-0.8942	0.0000	-0.1459	1
5730040	2993.3843	1848.6900	120.3750	-0.6819	0.0000	-0.0714	-0.5913	-0.0002	-0.1358	1
5730060	2993.2360	1848.6900	120.3582	-0.7715	0.0000	-0.0920	-0.3228	0.0006	-0.0841	1
5730080	2993.0757	1848.6900	120.3382	-0.7959	0.0000	-0.0994	0.0861	-0.0022	0.0123	1
5730100	2992.9176	1848.6900	120.3184	-0.7631	0.0010	-0.0956	0.3156	0.0081	0.0512	1
5730120	2992.7704	1848.6904	120.3000	-0.7077	0.0060	-0.0925	0.2808	0.0315	-0.0053	1
5730140	2992.6346	1848.6924	120.2814	-0.6533	0.0222	-0.0973	0.2576	0.1037	-0.0573	1
5730160	2992.5091	1848.6993	120.2611	-0.5998	0.0647	-0.1029	0.2519	0.2866	-0.0250	1
5730180	2992.3946	1848.7183	120.2402	-0.5333	0.1527	-0.0967	0.3815	0.5688	0.0793	1
5730200	2992.2958	1848.7603	120.2224	-0.4379	0.2986	-0.0749	0.5696	0.8996	0.1582	1
5730220	2992.2195	1848.8377	120.2103	-0.3109	0.4958	-0.0465	0.7152	1.1259	0.1479	1
5730240	2992.1714	1848.9587	120.2038	-0.1604	0.7132	-0.0230	0.8141	1.1314	0.0944	1
5730260	2992.1553	1849.1230	120.2011	-0.0016	0.9044	-0.0089	0.8110	0.8575	0.0416	1
5730280	2992.1708	1849.3204	120.2002	0.1440	1.0270	-0.0027	0.6879	0.4063	0.0128	1
5730300	2992.2129	1849.5338	120.2000	0.2527	1.0596	-0.0006	0.4260	-0.0982	0.0055	1
5730320	2992.2719	1849.7443	120.2000	0.3108	1.0112	0.0000	0.1422	-0.4404	-0.0015	1
5730340	2992.3372	1849.9383	120.2000	0.3236	0.9102	0.0000	-0.0419	-0.6179	0.0004	1
5730360	2992.4013	1850.1083	120.2000	0.3046	0.7839	0.0000	-0.1562	-0.6731	-0.0001	1
5730380	2992.4590	1850.2518	120.2000	0.2590	0.6488	0.0000	-0.2923	-0.6790	0.0000	1
5730400	2992.5049	1850.3679	120.2000	0.1844	0.5054	0.0000	-0.4548	-0.7287	0.0000	1
5730420	2992.5328	1850.4540	120.2000	0.0843	0.3415	0.0000	-0.5827	-0.8941	-0.0000	1
