# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	26. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	J
# Flight type and number:	Free Flight 11
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
5730000	2991.9105	1848.8948	121.2412	2.2913	1.7995	-1.1642	0.0000	0.0000	0.0000	1
5730020	2992.3688	1849.2547	121.0084	2.3638	2.0268	-1.2325	1.0224	2.9345	-0.8641	1
5730040	2992.8560	1849.7055	120.7482	2.4753	2.4451	-1.3770	0.2577	1.9024	-0.6400	1
5730060	2993.3589	1850.2327	120.4576	2.5373	2.7144	-1.5705	0.2891	0.9095	-1.1498	1
5730080	2993.8710	1850.7913	120.1200	2.5381	2.7150	-1.8567	-0.0364	-0.8323	-1.8024	1
5730100	2994.3741	1851.3187	119.7149	2.3617	2.4258	-2.1825	-1.4722	-2.2559	-1.7693	1
5730120	2994.8156	1851.7616	119.2470	1.8808	1.9389	-2.3730	-3.3320	-2.8206	-0.5379	1
5730140	2995.1265	1852.0942	118.7657	1.1131	1.3777	-2.2294	-4.7938	-2.9992	1.9051	1
5730160	2995.2609	1852.3127	118.3553	0.2850	0.8660	-1.7205	-3.9585	-2.3168	3.5505	1
5730180	2995.2405	1852.4407	118.0775	-0.3707	0.5181	-1.0406	-2.5976	-1.2978	3.7939	1
5730200	2995.1126	1852.5199	117.9390	-0.8314	0.4109	-0.4910	-1.7669	0.1956	2.1697	1
5730220	2994.9079	1852.6050	117.8811	-1.2098	0.5491	-0.3232	-1.8588	1.3970	-0.3925	1
5730240	2994.6287	1852.7396	117.8098	-1.5776	0.8165	-0.5919	-1.9765	1.6300	-2.6102	1
5730260	2994.2769	1852.9316	117.6443	-1.8571	1.0264	-1.1242	-1.1242	0.7131	-3.2827	1
5730280	2993.8858	1853.1501	117.3601	-1.9005	1.0482	-1.6126	0.5878	-0.5235	-2.0768	1
5730300	2993.5167	1853.3509	116.9993	-1.6554	0.8905	-1.8012	2.0558	-1.2657	0.1006	1
5730320	2993.2237	1853.5063	116.6396	-1.2159	0.6578	-1.6338	2.6111	-1.2314	1.8475	1
5730340	2993.0303	1853.6141	116.3458	-0.7233	0.4405	-1.2461	2.4503	-0.9508	2.3838	1
5730360	2992.9343	1853.6825	116.1412	-0.2598	0.2539	-0.8270	2.1914	-0.8631	2.0013	1
5730380	2992.9264	1853.7156	116.0149	0.1580	0.0776	-0.4926	1.9938	-0.8917	1.3717	1
5730400	2992.9975	1853.7135	115.9441	0.5206	-0.0929	-0.2692	1.6926	-0.8581	0.8184	0
5730420	2993.1346	1853.6784	115.9073	0.7988	-0.2363	-0.1377	1.1287	-0.6183	0.4484	0
5730440	2993.3171	1853.6190	115.8890	0.9748	-0.3319	-0.0700	0.5965	-0.3279	0.1882	0
5730460	2993.5246	1853.5457	115.8792	1.0647	-0.3824	-0.0415	0.2419	-0.1473	0.0589	0
5730480	2993.7429	1853.4660	115.8724	1.1009	-0.4035	-0.0315	0.0686	-0.0364	0.0242	0
5730500	2993.9649	1853.3843	115.8667	1.1125	-0.4102	-0.0283	0.0239	-0.0158	0.0020	0
5730520	2994.1879	1853.3019	115.8611	1.1151	-0.4118	-0.0278	-0.0066	0.0043	-0.0007	0
5730540	2994.4110	1853.2196	115.8556	1.1151	-0.4118	-0.0278	0.0023	-0.0013	0.0007	0
5730560	2994.6340	1853.1372	115.8500	1.1151	-0.4118	-0.0278	-0.0027	0.0011	-0.0022	0
