# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	02. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	D
# Flight type and number:	Free Flight 2
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
2229000	3026.5204	1927.8954	125.9959	-5.9440	-21.0920	1.2658	0.0000	0.0000	0.0000	1
2229020	3025.3316	1923.6770	126.2490	-7.0264	-23.8034	1.3587	-13.7021	-35.1728	1.2955	1
2229040	3023.7099	1918.3740	126.5393	-9.1394	-28.8030	1.4977	-10.1345	-21.9952	0.3959	1
2229060	3021.6759	1912.1558	126.8481	-10.8903	-32.4578	1.5433	-7.5967	-14.1344	-0.1202	1
2229080	3019.3538	1905.3908	127.1567	-11.9006	-34.2588	1.5797	-2.6950	-3.4696	0.0647	1
2229100	3016.9156	1898.4522	127.4800	-12.1178	-34.5925	1.8421	0.9751	1.9558	2.0656	1
2229120	3014.5066	1891.5538	127.8935	-11.6921	-34.2574	2.5704	3.1627	1.6800	5.2080	1
2229140	3012.2388	1884.7493	128.5081	-10.5944	-33.5226	3.7457	7.5438	5.3988	7.2668	1
2229160	3010.2689	1878.1448	129.3918	-8.7556	-32.2934	4.9645	11.3555	6.7408	6.0771	1
2229180	3008.7365	1871.8319	130.4939	-6.4603	-30.3910	5.6065	12.6699	11.3725	1.2037	1
2229200	3007.6848	1865.9884	131.6344	-4.2893	-27.3768	5.2119	10.0474	18.1763	-5.1501	1
2229220	3007.0208	1860.8812	132.5787	-2.7763	-22.9537	3.7768	5.3175	26.3712	-10.0244	1
2229240	3006.5742	1856.8069	133.1451	-2.0647	-17.3666	1.7491	1.2821	31.2738	-11.4376	1
2229260	3006.1949	1853.9346	133.2783	-1.8961	-11.5799	-0.2183	-0.3477	28.8266	-9.2022	1
2229280	3005.8158	1852.1750	133.0577	-1.8616	-6.7785	-1.5905	0.1253	20.3289	-4.8191	1
2229300	3005.4503	1851.2232	132.6421	-1.6239	-3.6066	-2.1852	1.9048	11.0279	-0.7888	1
2229320	3005.1662	1850.7323	132.1837	-1.0129	-1.9238	-2.1600	4.4547	4.7087	1.5605	1
2229340	3005.0451	1850.4536	131.7781	-0.1964	-1.1513	-1.7954	4.7359	1.9558	2.4711	1
2229360	3005.0876	1850.2718	131.4655	0.2936	-0.6723	-1.3196	1.1345	2.0001	2.5088	1
2229380	3005.1626	1850.1847	131.2502	-0.0248	-0.0150	-0.8765	-4.4074	4.2483	2.0892	1
2229400	3005.0777	1850.2658	131.1149	-1.0787	0.9834	-0.5539	-7.4732	6.2423	1.1259	1
2229420	3004.7311	1850.5781	131.0287	-2.1684	2.0448	-0.3470	-4.9693	5.4489	0.7710	1
2229440	3004.2104	1851.0838	130.9761	-2.5032	2.6148	-0.1776	1.2437	0.9796	0.8395	1
2229460	3003.7298	1851.6240	130.9577	-1.8683	2.3287	-0.0086	6.0084	-4.1843	0.9862	1
2229480	3003.4631	1852.0152	130.9727	-0.6918	1.3480	0.0898	6.8052	-6.5920	0.2379	1
2229500	3003.4530	1852.1632	130.9936	0.4718	0.1693	0.0065	5.2752	-5.9433	-1.0549	1
2229520	3003.6518	1852.0830	130.9753	1.3423	-0.7878	-0.2648	3.4080	-3.8567	-1.8981	1
2229540	3003.9900	1851.8481	130.8876	1.8842	-1.3627	-0.6044	2.0114	-1.8345	-1.7545	1
2229560	3004.4055	1851.5379	130.7335	2.0825	-1.5612	-0.8770	0.1411	-0.0941	-1.0537	1
2229580	3004.8230	1851.2236	130.5368	1.8728	-1.4293	-1.0283	-2.2701	1.5880	-0.4189	1
2229600	3005.1546	1850.9662	130.3222	1.2868	-1.0851	-1.0659	-3.9538	2.2802	0.0384	1
2229620	3005.3377	1850.7896	130.1105	0.5196	-0.7640	-0.9877	-4.1815	1.4057	0.7028	1
2229640	3005.3624	1850.6606	129.9271	-0.1757	-0.7191	-0.7853	-3.0835	-0.7540	1.4031	1
2229660	3005.2674	1850.5019	129.7964	-0.6191	-1.0596	-0.5088	-1.4359	-2.8444	1.5724	1
2229680	3005.1148	1850.2368	129.7236	-0.7547	-1.6866	-0.2638	0.1733	-3.8437	1.0139	1
2229700	3004.9656	1849.8273	129.6909	-0.6341	-2.3743	-0.1221	1.2590	-3.4254	0.3646	1
2229720	3004.8611	1849.2871	129.6748	-0.3824	-2.9051	-0.0704	1.5096	-2.0703	0.0338	1
2229740	3004.8126	1848.6653	129.6627	-0.1426	-3.1629	-0.0540	1.0875	-0.5297	0.0956	1
2229760	3004.8041	1848.0219	129.6532	-0.0264	-3.1269	-0.0490	0.1427	0.9588	-0.0273	1
2229780	3004.8020	1847.4145	129.6431	-0.0730	-2.8409	-0.0535	-0.6905	2.0852	-0.0721	1
2229800	3004.7749	1846.8856	129.6318	-0.2419	-2.4139	-0.0409	-1.1437	2.4709	0.1299	1
