# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	02. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	E
# Flight type and number:	Free Flight 2
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
2130460	2998.6142	1842.0749	128.3376	-0.0074	-0.3348	0.1378	0.0000	0.0000	0.0000	1
2130480	2998.6127	1842.0079	128.3652	0.0262	-0.4059	0.0837	0.3637	-0.8967	-0.6450	1
2130500	2998.6247	1841.9125	128.3711	0.1136	-0.5448	-0.0344	0.5636	-0.6834	-0.6664	1
2130520	2998.6582	1841.7900	128.3514	0.2225	-0.6503	-0.1473	0.6081	-0.4303	-0.5308	1
2130540	2998.7137	1841.6524	128.3122	0.3064	-0.6761	-0.2119	0.3096	0.1347	-0.1425	1
2130560	2998.7808	1841.5196	128.2667	0.3272	-0.6087	-0.2156	-0.1181	0.6157	0.1588	1
2130580	2998.8446	1841.4089	128.2260	0.2919	-0.4866	-0.1842	-0.3151	0.7189	0.2246	1
2130600	2998.8975	1841.3250	128.1930	0.2394	-0.3704	-0.1521	-0.2663	0.5211	0.1088	1
2130620	2998.9404	1841.2607	128.1651	0.2014	-0.3042	-0.1292	-0.1239	0.1521	0.0973	1
2130640	2998.9781	1841.2033	128.1413	0.1880	-0.2964	-0.1062	-0.0126	-0.1144	0.1223	1
2130660	2999.0155	1841.1421	128.1226	0.2026	-0.3282	-0.0776	0.1423	-0.2403	0.1706	1
2130680	2999.0591	1841.0720	128.1103	0.2520	-0.3769	-0.0470	0.3552	-0.2858	0.1535	1
2130700	2999.1163	1840.9914	128.1038	0.3312	-0.4178	-0.0230	0.4868	-0.1733	0.0929	1
2130720	2999.1916	1840.9048	128.1011	0.4139	-0.4248	-0.0089	0.4004	0.0798	0.0420	1
2130740	2999.2819	1840.8215	128.1002	0.4692	-0.3874	-0.0027	0.1727	0.3322	0.0127	1
2130760	2999.3793	1840.7499	128.1000	0.4857	-0.3238	-0.0006	-0.0365	0.3585	0.0055	1
2130780	2999.4762	1840.6920	128.1000	0.4759	-0.2595	0.0000	-0.0923	0.2831	-0.0015	1
2130800	2999.5696	1840.6461	128.1000	0.4540	-0.1950	0.0000	-0.1174	0.3179	0.0005	1
2130820	2999.6578	1840.6140	128.1000	0.4167	-0.1113	0.0000	-0.2297	0.5070	-0.0005	1
2130840	2999.7363	1840.6016	128.1000	0.3542	-0.0055	0.0000	-0.4089	0.6110	0.0015	1
2130860	2999.7995	1840.6118	128.1000	0.2753	0.0935	-0.0006	-0.4378	0.4422	-0.0055	1
2130880	2999.8464	1840.6390	128.0998	0.2070	0.1559	-0.0027	-0.2757	0.1667	-0.0128	1
2130900	2999.8823	1840.6742	128.0989	0.1635	0.1906	-0.0089	-0.1208	0.0915	-0.0418	1
2130920	2999.9118	1840.7152	128.0962	0.1270	0.2417	-0.0230	-0.1881	0.3438	-0.0940	1
2130940	2999.9331	1840.7708	128.0897	0.0715	0.3484	-0.0465	-0.3688	0.7233	-0.1494	1
2130960	2999.9404	1840.8545	128.0776	-0.0029	0.5122	-0.0743	-0.4247	0.9748	-0.1527	1
2130980	2999.9319	1840.9757	128.0600	-0.0736	0.7028	-0.0940	-0.3089	0.9940	-0.0664	1
2131000	2999.9110	1841.1356	128.0400	-0.1262	0.8863	-0.0940	-0.2016	0.8693	0.0664	1
2131020	2999.8814	1841.3302	128.0224	-0.1664	1.0439	-0.0743	-0.1819	0.7228	0.1527	1
2131040	2999.8444	1841.5532	128.0103	-0.2016	1.1639	-0.0465	-0.1849	0.5010	0.1494	1
2131060	2999.8008	1841.7958	128.0038	-0.2251	1.2330	-0.0230	-0.0745	0.2089	0.0938	1
2131080	2999.7544	1842.0464	128.0011	-0.2265	1.2433	-0.0089	0.0657	-0.1233	0.0423	1
2131100	2999.7102	1842.2931	128.0002	-0.2092	1.2062	-0.0027	0.1454	-0.3111	0.0109	1
2131120	2999.6707	1842.5289	128.0000	-0.1923	1.1558	0.0000	0.0604	-0.2678	0.0125	1
2131140	2999.6333	1842.7554	128.0002	-0.1950	1.1326	0.0022	-0.0832	-0.0031	0.0058	1
2131160	2999.5927	1842.9819	128.0009	-0.2204	1.1568	0.0062	-0.1968	0.2714	0.0294	1
2131180	2999.5451	1843.2182	128.0027	-0.2553	1.2162	0.0140	-0.1808	0.3808	0.0521	1
2131200	2999.4906	1843.4684	128.0065	-0.2848	1.2797	0.0235	-0.1248	0.3064	0.0555	1
2131220	2999.4312	1843.7300	128.0121	-0.3024	1.3186	0.0278	-0.0455	0.1046	0.0033	1
2131240	2999.3696	1843.9958	128.0176	-0.3102	1.3184	0.0196	-0.0224	-0.1057	-0.0863	1
2131260	2999.3071	1844.2574	128.0200	-0.3129	1.2775	0.0000	-0.0023	-0.3117	-0.1328	1
2131280	2999.2444	1844.5068	128.0176	-0.3129	1.2030	-0.0196	0.0041	-0.4680	-0.0863	1
2131300	2999.1819	1844.7386	128.0121	-0.3109	1.1126	-0.0278	0.0134	-0.4701	0.0033	1
2131320	2999.1201	1844.9519	128.0065	-0.3052	1.0247	-0.0235	0.0381	-0.4231	0.0554	1
2131340	2999.0599	1845.1485	128.0027	-0.2933	0.9487	-0.0140	0.0817	-0.3382	0.0522	1
2131360	2999.0028	1845.3313	128.0009	-0.2763	0.8864	-0.0062	0.0990	-0.2843	0.0290	1
2131380	2998.9493	1845.5030	128.0002	-0.2611	0.8397	-0.0022	0.0762	-0.2000	0.0073	1
2131400	2998.8983	1845.6672	128.0000	-0.2595	0.8162	-0.0006	-0.0438	-0.0463	0.0070	1
2131420	2998.8455	1845.8295	128.0000	-0.2794	0.8213	0.0000	-0.1630	0.1061	-0.0019	1
2131440	2998.7866	1845.9957	128.0000	-0.3171	0.8512	0.0000	-0.2372	0.2072	0.0005	1
2131460	2998.7187	1846.1700	128.0000	-0.3605	0.8977	0.0000	-0.2167	0.2745	-0.0001	1
2131480	2998.6424	1846.3548	128.0000	-0.3993	0.9504	0.0000	-0.1723	0.2771	0.0000	1
2131500	2998.5590	1846.5501	128.0000	-0.4322	0.9938	0.0000	-0.1489	0.1930	-0.0000	1
2131520	2998.4695	1846.7523	128.0000	-0.4611	1.0071	0.0000	-0.1513	-0.0182	0.0000	1
2131540	2998.3746	1846.9530	128.0000	-0.4779	0.9668	0.0000	-0.0553	-0.3557	-0.0000	1
2131560	2998.2783	1847.1391	128.0000	-0.4637	0.8586	0.0000	0.1701	-0.7394	0.0000	1
2131580	2998.1891	1847.2964	128.0000	-0.4055	0.6905	0.0000	0.4295	-1.0020	-0.0000	1
2131600	2998.1161	1847.4153	128.0000	-0.3136	0.4969	0.0000	0.5513	-1.0179	0.0000	1
2131620	2998.0636	1847.4952	128.0000	-0.2211	0.3231	0.0000	0.4358	-0.7785	-0.0000	1
2131640	2998.0277	1847.5445	128.0000	-0.1601	0.1997	0.0000	0.1868	-0.4433	0.0000	1
2131660	2997.9996	1847.5750	128.0000	-0.1381	0.1215	0.0000	-0.0049	-0.2833	-0.0001	1
2131680	2997.9724	1847.5931	128.0000	-0.1367	0.0622	0.0000	-0.0259	-0.2786	0.0004	1
