# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	13. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	L
# Flight type and number:	Free Flight 5
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1814340	2995.2772	1853.1773	128.0171	-1.7727	4.8725	0.0586	0.0000	0.0000	0.0000	1
1814360	2994.9227	1854.1518	128.0289	-2.1261	5.6218	0.0686	-4.2737	9.4334	0.1366	1
1814380	2994.4268	1855.4260	128.0446	-2.8996	7.1100	0.0843	-4.1113	7.2215	0.0584	1
1814400	2993.7629	1856.9958	128.0626	-3.7530	8.4217	0.0869	-4.4822	6.0163	-0.0348	1
1814420	2992.9256	1858.7947	128.0794	-4.5792	9.3098	0.0751	-3.9632	3.0853	-0.1008	1
1814440	2991.9312	1860.7197	128.0926	-5.3056	9.7017	0.0583	-3.2367	0.5517	-0.0870	1
1814460	2990.8034	1862.6754	128.1027	-5.9476	9.7047	0.0460	-3.1004	-0.6826	-0.0329	1
1814480	2989.5521	1864.6016	128.1110	-6.5534	9.4274	0.0368	-2.8733	-2.2526	-0.0403	1
1814500	2988.1820	1866.4464	128.1174	-7.1685	8.9710	0.0224	-3.2397	-2.5173	-0.0972	1
1814520	2986.6847	1868.1900	128.1200	-7.8076	8.4356	0.0000	-3.2418	-2.8484	-0.1439	1
1814540	2985.0590	1869.8206	128.1174	-8.4351	7.8445	-0.0224	-3.0651	-3.0471	-0.0975	1
1814560	2983.3107	1871.3278	128.1110	-9.0319	7.1861	-0.0368	-2.8757	-3.4673	-0.0389	1
1814580	2981.4462	1872.6950	128.1027	-9.6110	6.4279	-0.0465	-2.8613	-4.0847	-0.0384	1
1814600	2979.4663	1873.8990	128.0924	-10.2010	5.5545	-0.0605	-2.9955	-4.6820	-0.0971	1
1814620	2977.3658	1874.9168	128.0785	-10.8232	4.5801	-0.0805	-3.2439	-5.1063	-0.1240	1
1814640	2975.1370	1875.7311	128.0602	-11.4640	3.5309	-0.0962	-3.2727	-5.4349	-0.0581	1
1814660	2972.7802	1876.3292	128.0400	-12.0364	2.4436	-0.0945	-2.8716	-5.5663	0.0695	1
1814680	2970.3225	1876.7085	128.0224	-12.2971	1.3920	-0.0743	-0.3737	-5.1275	0.1655	1
1814700	2967.8614	1876.8860	128.0103	-11.8739	0.4775	-0.0465	3.8547	-4.1896	0.0953	1
1814720	2965.5730	1876.8995	128.0038	-10.2480	-0.1773	0.0053	10.8614	-2.7204	0.2976	1
1814740	2963.7622	1876.8151	128.0124	-6.5418	-0.3599	0.1595	24.3474	0.3894	0.9781	0
1814760	2962.9563	1876.7555	128.0676	0.0908	0.1606	0.5916	42.4733	4.8911	2.7753	1
1814780	2963.7985	1876.8793	128.2490	9.1082	1.2624	1.6143	52.9898	7.5510	6.8618	1
1814800	2966.5995	1877.2605	128.7133	17.5428	2.1423	3.4969	39.3794	3.5028	12.1974	1
1814820	2970.8156	1877.7362	129.6478	21.2537	1.6437	6.0379	1.7579	-7.3667	14.8847	0
1814840	2975.1010	1877.9179	131.1284	18.2265	-0.7846	8.3083	-36.0233	-18.1435	10.1888	1
1814860	2978.1062	1877.4224	132.9711	10.4769	-4.5190	9.0851	-49.6846	-21.6506	-1.3392	0
1814880	2979.2918	1876.1104	134.7625	2.2500	-8.2936	7.8257	-38.1906	-17.7245	-12.5234	1
1814900	2979.0062	1874.1049	136.1014	-3.3344	-11.2019	5.1715	-18.2184	-11.4603	-16.4382	1
1814920	2977.9580	1871.6296	136.8311	-5.7102	-13.1076	2.3764	-3.3336	-6.9227	-13.1077	1
1814940	2976.7222	1868.8619	137.0520	-5.9061	-14.3233	0.3376	3.4044	-4.7014	-7.4529	0
1814960	2975.5956	1865.9003	136.9661	-5.0517	-15.1478	-0.7715	6.1122	-3.3669	-3.0844	1
1814980	2974.7015	1862.8028	136.7434	-3.7913	-15.7148	-1.2064	7.0145	-2.2057	-0.7527	1
1815000	2974.0791	1859.6143	136.4836	-2.4520	-16.0911	-1.2566	6.5813	-1.4535	0.5425	1
1815020	2973.7207	1856.3663	136.2407	-1.1681	-16.3366	-1.1145	6.2705	-0.9158	1.1243	1
1815040	2973.6118	1853.0797	136.0378	0.0311	-16.4997	-0.9232	5.7608	-0.6768	0.9434	1
1815060	2973.7331	1849.7664	135.8715	1.1276	-16.6002	-0.7709	5.2098	-0.3708	0.6013	1
1815080	2974.0629	1846.4396	135.7294	2.1178	-16.6168	-0.6776	4.6706	0.1266	0.2888	1
1815100	2974.5802	1843.1197	135.6004	3.0154	-16.5080	-0.6217	4.2470	0.9026	0.2006	1
1815120	2975.2690	1839.8364	135.4807	3.8531	-16.2421	-0.5659	4.0577	1.7500	0.3056	1
1815140	2976.1215	1836.6229	135.3740	4.6714	-15.8103	-0.4821	4.0678	2.5690	0.5294	1
1815160	2977.1376	1833.5123	135.2879	5.5041	-15.2104	-0.3684	4.2260	3.4064	0.6546	1
1815180	2978.3231	1830.5387	135.2267	6.3709	-14.4274	-0.2495	4.4351	4.3703	0.5932	1
1815200	2979.6860	1827.7413	135.1881	7.2777	-13.4339	-0.1573	4.6358	5.5242	0.3677	1
1815220	2981.2342	1825.1652	135.1637	8.2223	-12.2098	-0.1118	4.8251	6.7312	0.0703	1
1815240	2982.9749	1822.8574	135.1434	9.1928	-10.7659	-0.1039	4.9390	7.7987	-0.0497	1
1815260	2984.9113	1820.8588	135.1221	10.1517	-9.1541	-0.1060	4.7704	8.4579	-0.0006	1
