# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	18. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	G
# Flight type and number:	Free Flight 6
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1422460	2976.7709	1862.5682	127.9706	0.2127	-1.6791	0.0182	0.0000	0.0000	0.0000	1
1422480	2976.8135	1862.2324	127.9743	0.2485	-1.7746	0.0243	0.4707	-1.4877	0.0862	1
1422500	2976.8703	1861.8584	127.9804	0.3108	-1.8552	0.0329	0.2668	0.2172	0.0216	1
1422520	2976.9378	1861.4903	127.9874	0.3401	-1.6945	0.0327	0.0486	1.5189	-0.0281	1
1422540	2977.0064	1861.1806	127.9934	0.3162	-1.3180	0.0247	-0.2865	2.4509	-0.0619	1
1422560	2977.0643	1860.9631	127.9973	0.2426	-0.8424	0.0142	-0.5085	2.5244	-0.0528	1
1422580	2977.1034	1860.8436	127.9991	0.1497	-0.3807	0.0062	-0.4929	2.1411	-0.0291	1
1422600	2977.1242	1860.8109	127.9998	0.0772	0.0218	0.0022	-0.2779	1.9202	-0.0073	1
1422620	2977.1343	1860.8523	128.0000	0.0483	0.3375	0.0006	0.0069	1.3178	-0.0070	1
1422640	2977.1435	1860.9458	128.0000	0.0541	0.5298	0.0000	0.1194	0.6123	0.0019	1
1422660	2977.1559	1861.0642	128.0000	0.0603	0.5938	0.0000	-0.0060	-0.0324	-0.0005	1
1422680	2977.1676	1861.1834	128.0000	0.0391	0.5640	0.0000	-0.2065	-0.3757	0.0001	1
1422700	2977.1716	1861.2899	128.0000	-0.0105	0.5010	0.0000	-0.3284	-0.3567	-0.0000	1
1422720	2977.1634	1861.3838	128.0000	-0.0686	0.4632	0.0000	-0.2964	-0.0891	0.0000	1
1422740	2977.1441	1861.4751	128.0000	-0.1115	0.4903	0.0000	-0.1526	0.3365	-0.0000	1
1422760	2977.1188	1861.5799	128.0000	-0.1291	0.5922	0.0000	-0.0016	0.7475	0.0000	1
1422780	2977.0925	1861.7120	128.0000	-0.1333	0.7309	0.0000	0.0104	0.7812	-0.0000	1
1422800	2977.0655	1861.8722	128.0000	-0.1496	0.8310	0.0000	-0.1414	0.3404	0.0000	1
1422820	2977.0327	1862.0444	128.0000	-0.1944	0.8309	0.0000	-0.3211	-0.3480	-0.0000	1
1422840	2976.9877	1862.2046	128.0000	-0.2597	0.7337	0.0000	-0.3839	-0.7528	0.0000	1
1422860	2976.9288	1862.3379	128.0000	-0.3186	0.6044	0.0000	-0.2516	-0.6685	-0.0000	1
1422880	2976.8603	1862.4463	128.0000	-0.3465	0.5109	0.0000	-0.0368	-0.3000	0.0000	1
1422900	2976.7902	1862.5423	128.0000	-0.3373	0.4771	0.0000	0.1490	-0.0138	-0.0000	1
1422920	2976.7254	1862.6372	128.0000	-0.3026	0.4966	0.0000	0.2410	0.2075	0.0000	1
1422940	2976.6691	1862.7409	128.0000	-0.2666	0.5716	0.0000	0.1685	0.5039	-0.0000	1
1422960	2976.6188	1862.8658	128.0000	-0.2541	0.7184	0.0000	-0.0320	0.9541	0.0000	1
1422980	2976.5675	1863.0282	128.0000	-0.2709	0.9357	0.0000	-0.1731	1.3092	-0.0000	1
1423000	2976.5104	1863.2401	128.0000	-0.2987	1.1742	0.0000	-0.1551	1.2235	0.0000	1
1423020	2976.4480	1863.4979	128.0000	-0.3122	1.3560	0.0000	0.0040	0.6908	-0.0000	1
1423040	2976.3855	1863.7825	128.0000	-0.3031	1.4272	0.0000	0.1188	0.0248	0.0000	1
1423060	2976.3268	1864.0688	128.0000	-0.2862	1.3818	0.0000	0.0881	-0.5270	-0.0000	1
1423080	2976.2710	1864.3352	128.0000	-0.2808	1.2433	0.0000	-0.0265	-0.9022	0.0000	1
1423100	2976.2145	1864.5661	128.0000	-0.2919	1.0415	0.0000	-0.0973	-1.1911	-0.0000	1
1423120	2976.1542	1864.7518	128.0000	-0.3136	0.8234	0.0000	-0.1380	-1.1169	0.0000	1
1423140	2976.0890	1864.8955	128.0000	-0.3354	0.6591	0.0000	-0.1008	-0.6394	-0.0000	1
1423160	2976.0201	1865.0155	128.0000	-0.3451	0.6075	0.0000	-0.0124	0.1138	-0.0000	1
1423180	2975.9510	1865.1385	128.0000	-0.3341	0.6709	0.0000	0.1186	0.6497	0.0000	1
1423200	2975.8864	1865.2838	128.0000	-0.3010	0.7826	0.0000	0.2291	0.6264	-0.0000	1
1423220	2975.8306	1865.4515	128.0000	-0.2533	0.8531	0.0000	0.2607	0.2033	0.0000	1
1423240	2975.7851	1865.6251	128.0000	-0.1965	0.8096	0.0000	0.2957	-0.5672	-0.0000	1
1423260	2975.7519	1865.7754	128.0000	-0.1264	0.6128	0.0000	0.3939	-1.4156	0.0000	1
1423280	2975.7346	1865.8702	128.0000	-0.0377	0.2743	0.0000	0.5014	-2.0987	-0.0000	1
1423300	2975.7369	1865.8851	128.0000	0.0644	-0.1317	0.0000	0.5487	-2.1687	0.0000	1
1423320	2975.7604	1865.8175	128.0000	0.1655	-0.4939	0.0000	0.4834	-1.6091	-0.0000	1
1423340	2975.8031	1865.6875	128.0000	0.2553	-0.7276	0.0000	0.4034	-0.7415	0.0000	1
1423360	2975.8625	1865.5264	128.0000	0.3390	-0.8221	0.0000	0.4052	-0.0995	-0.0000	1
1423380	2975.9387	1865.3587	128.0000	0.4296	-0.8272	0.0000	0.4940	0.1437	0.0000	1
1423400	2976.0343	1865.1956	128.0000	0.5289	-0.7937	0.0000	0.5348	0.2115	-0.0000	1
1423420	2976.1503	1865.0412	128.0000	0.6190	-0.7373	0.0000	0.4129	0.3348	0.0000	1
1423440	2976.2819	1864.9006	128.0000	0.6756	-0.6523	0.0000	0.1687	0.5071	-0.0000	1
1423460	2976.4205	1864.7803	128.0000	0.6917	-0.5378	0.0000	-0.0430	0.6823	0.0000	1
1423480	2976.5586	1864.6855	128.0000	0.6849	-0.4198	0.0000	-0.0754	0.5841	-0.0000	1
1423500	2976.6945	1864.6124	128.0000	0.6814	-0.3431	0.0000	0.0142	0.2452	0.0000	1
1423520	2976.8312	1864.5482	128.0000	0.6961	-0.3410	0.0000	0.1418	-0.2267	-0.0000	1
1423540	2976.9729	1864.4760	128.0000	0.7240	-0.4119	0.0000	0.1759	-0.5494	0.0000	1
1423560	2977.1207	1864.3835	128.0000	0.7452	-0.5193	0.0000	0.0683	-0.6219	-0.0000	1
1423580	2977.2710	1864.2683	128.0000	0.7424	-0.6126	0.0000	-0.0911	-0.3617	0.0000	1
1423600	2977.4177	1864.1384	128.0000	0.7127	-0.6646	0.0000	-0.2270	-0.1312	-0.0000	1
1423620	2977.5561	1864.0024	128.0000	0.6673	-0.6866	0.0000	-0.2578	-0.0320	0.0000	1
1423640	2977.6846	1863.8638	128.0000	0.6224	-0.7088	0.0000	-0.2104	-0.1427	-0.0001	1
1423660	2977.8050	1863.7189	128.0000	0.5889	-0.7561	0.0000	-0.1247	-0.3272	0.0005	1
