# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	18. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	H
# Flight type and number:	Free Flight 6
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
1451820	2994.5141	1851.9139	126.5063	0.1604	0.0745	-1.7622	0.0000	0.0000	0.0000	1
1451840	2994.5462	1851.9288	126.1538	0.1630	0.0442	-1.7576	0.0566	-0.2925	-0.2529	0
1451860	2994.5793	1851.9316	125.8032	0.1590	-0.0512	-1.6394	-0.0733	-0.6461	1.2862	1
1451880	2994.6098	1851.9083	125.4981	0.1375	-0.2178	-1.3504	-0.1558	-1.0283	1.9263	1
1451900	2994.6343	1851.8445	125.2630	0.1034	-0.4468	-1.0338	-0.1962	-1.3328	1.5309	1
1451920	2994.6511	1851.7296	125.0845	0.0647	-0.7024	-0.8482	-0.2151	-1.2906	0.4250	1
1451940	2994.6602	1851.5635	124.9237	0.0356	-0.9504	-0.8451	-0.1109	-1.1903	-0.5720	1
1451960	2994.6654	1851.3494	124.7465	0.0357	-1.1865	-0.9433	0.0850	-1.1417	-0.6105	1
1451980	2994.6744	1851.0889	124.5464	0.0762	-1.4188	-1.0383	0.3497	-1.2120	-0.4045	1
1452000	2994.6958	1850.7819	124.3312	0.1380	-1.6212	-1.0820	0.3656	-0.9817	-0.0485	1
1452020	2994.7296	1850.4404	124.1136	0.1718	-1.7032	-1.0616	0.0460	-0.0334	0.2498	1
1452040	2994.7646	1850.1006	123.9065	0.1409	-1.5706	-0.9690	-0.3781	1.3647	0.6256	1
1452060	2994.7860	1849.8122	123.7260	0.0583	-1.2310	-0.7819	-0.5619	2.2830	1.2263	0
1452080	2994.7879	1849.6082	123.5938	-0.0181	-0.8157	-0.4990	-0.2997	2.1692	1.7150	1
1452100	2994.7787	1849.4859	123.5264	-0.0386	-0.4840	-0.1816	0.1000	1.2916	1.6440	1
1452120	2994.7725	1849.4146	123.5211	-0.0020	-0.3195	0.0742	0.3346	0.3152	1.0214	1
1452140	2994.7779	1849.3581	123.5561	0.0585	-0.3065	0.2104	0.3218	-0.3316	0.3055	1
1452160	2994.7959	1849.2920	123.6053	0.1152	-0.3683	0.2400	0.2453	-0.4274	-0.1073	1
1452180	2994.8240	1849.2108	123.6521	0.1648	-0.4246	0.2124	0.2356	-0.2282	-0.2352	1
1452200	2994.8618	1849.1222	123.6902	0.2133	-0.4215	0.1652	0.2476	0.2303	-0.2511	1
