# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	19. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	B
# Flight type and number:	Free Flight 7
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
2892420	2993.4732	1845.8792	74.7567	4.9442	-2.3712	68.8741	0.0000	0.0000	0.0000	1
2892440	2994.4620	1845.4049	88.5315	4.9836	-2.4045	68.4449	1.4628	-0.8559	8.4992	0
2892460	2995.4666	1844.9174	102.1347	4.7058	-2.3105	62.5552	-3.4874	1.4271	-59.7494	1
2892480	2996.3443	1844.4807	113.5536	3.7734	-1.9226	48.0312	-6.5452	2.7810	-97.1281	1
2892500	2996.9760	1844.1484	121.3471	2.4764	-1.3704	29.9485	-7.2424	3.0912	-95.5575	1
2892520	2997.3349	1843.9326	125.5330	1.2696	-0.8496	14.8156	-5.3922	2.3432	-61.7810	1
2892540	2997.4838	1843.8085	127.2734	0.4524	-0.4800	5.8664	-2.6885	1.2948	-24.1566	1
2892560	2997.5158	1843.7406	127.8796	0.0186	-0.2511	1.8188	-1.3895	0.8982	-11.7044	1
2892580	2997.4913	1843.7081	128.0009	-0.1602	-0.1160	0.3016	-0.2458	0.4258	-1.7689	1
2892600	2997.4518	1843.6942	128.0002	-0.1898	-0.0482	-0.0022	0.1372	0.1905	0.4890	1
2892620	2997.4153	1843.6888	128.0000	-0.1664	-0.0175	-0.0006	0.1561	0.0885	-0.1221	1
2892640	2997.3852	1843.6872	128.0000	-0.1305	-0.0051	0.0000	0.1876	0.0182	0.0327	1
2892660	2997.3631	1843.6868	128.0000	-0.0799	0.0000	0.0000	0.2940	0.0209	-0.0088	1
2892680	2997.3532	1843.6872	128.0000	-0.0036	0.0051	0.0000	0.4740	0.0214	0.0023	1
2892700	2997.3617	1843.6888	128.0000	0.0949	0.0166	0.0000	0.5502	0.0758	-0.0006	1
2892720	2997.3912	1843.6938	128.0000	0.1963	0.0435	0.0000	0.4948	0.1828	0.0002	1
2892740	2997.4402	1843.7062	128.0000	0.2848	0.0907	0.0000	0.3868	0.2992	-0.0000	1
2892760	2997.5051	1843.7301	128.0000	0.3607	0.1527	0.0000	0.3529	0.3489	0.0000	1
2892780	2997.5845	1843.7673	128.0000	0.4322	0.2135	0.0000	0.3604	0.2934	-0.0000	1
2892800	2997.6780	1843.8155	128.0000	0.5004	0.2557	0.0000	0.3381	0.1370	0.0000	1
2892820	2997.7846	1843.8696	128.0000	0.5570	0.2742	0.0000	0.2425	0.0349	-0.0000	1
2892840	2997.9008	1843.9252	128.0000	0.5950	0.2739	0.0000	0.1362	-0.0429	0.0000	1
2892860	2998.0226	1843.9791	128.0000	0.6140	0.2584	0.0000	0.0473	-0.1150	-0.0000	1
2892880	2998.1464	1844.0286	128.0000	0.6162	0.2296	0.0000	-0.0239	-0.1753	0.0000	1
2892900	2998.2691	1844.0710	128.0000	0.6000	0.1886	0.0000	-0.1170	-0.2339	-0.0000	1
2892920	2998.3864	1844.1040	128.0000	0.5536	0.1345	0.0000	-0.3183	-0.3018	0.0000	1
2892940	2998.4905	1844.1248	128.0000	0.4630	0.0656	0.0000	-0.5826	-0.3897	-0.0000	1
2892960	2998.5716	1844.1302	128.0000	0.3270	-0.0152	0.0000	-0.8128	-0.4432	0.0000	1
2892980	2998.6214	1844.1187	128.0000	0.1662	-0.0940	0.0000	-0.8626	-0.3819	-0.0000	1
2893000	2998.6381	1844.0926	128.0000	0.0161	-0.1523	0.0000	-0.6890	-0.2111	0.0000	1
2893020	2998.6278	1844.0578	128.0000	-0.0959	-0.1842	0.0000	-0.4386	-0.0882	-0.0000	1
2893040	2998.5997	1844.0190	128.0000	-0.1643	-0.1976	0.0000	-0.2210	-0.0380	0.0000	1
2893060	2998.5621	1843.9788	128.0000	-0.2009	-0.1962	0.0000	-0.1143	0.0397	-0.0000	1
2893080	2998.5194	1843.9405	128.0000	-0.2217	-0.1763	0.0000	-0.0801	0.1610	0.0000	1
2893100	2998.4734	1843.9082	128.0000	-0.2338	-0.1405	0.0000	-0.0567	0.2284	-0.0000	1
2893120	2998.4259	1843.8842	128.0000	-0.2294	-0.1045	0.0000	0.0704	0.1608	0.0000	1
2893140	2998.3816	1843.8664	128.0000	-0.1936	-0.0819	0.0000	0.2764	0.0545	-0.0000	1
2893160	2998.3484	1843.8515	128.0000	-0.1213	-0.0676	0.0000	0.4743	0.0533	0.0000	1
2893180	2998.3331	1843.8394	128.0000	-0.0295	-0.0461	0.0000	0.5097	0.1601	-0.0000	1
2893200	2998.3366	1843.8331	128.0000	0.0477	-0.0185	0.0000	0.3139	0.1677	0.0000	1
2893220	2998.3522	1843.8320	128.0000	0.0822	-0.0112	0.0000	0.0370	-0.0402	-0.0000	1
2893240	2998.3695	1843.8286	128.0000	0.0694	-0.0511	0.0000	-0.1922	-0.3605	0.0000	1
2893260	2998.3799	1843.8115	128.0000	0.0226	-0.1367	0.0000	-0.3053	-0.5567	-0.0000	1
2893280	2998.3786	1843.7739	128.0000	-0.0421	-0.2354	0.0000	-0.3572	-0.5086	0.0000	1
2893300	2998.3631	1843.7174	128.0000	-0.1143	-0.3060	0.0000	-0.3799	-0.2367	-0.0000	1
2893320	2998.3328	1843.6515	128.0000	-0.1840	-0.3271	0.0000	-0.3382	0.0504	0.0000	1
2893340	2998.2895	1843.5865	128.0000	-0.2393	-0.3111	0.0000	-0.2347	0.1745	-0.0000	1
2893360	2998.2371	1843.5270	128.0000	-0.2695	-0.2925	0.0000	-0.0716	0.0687	0.0000	1
2893380	2998.1817	1843.4695	128.0000	-0.2715	-0.3014	0.0000	0.0573	-0.1506	-0.0000	1
2893400	2998.1285	1843.4065	128.0000	-0.2496	-0.3413	0.0000	0.1808	-0.2940	0.0000	1
2893420	2998.0819	1843.3330	128.0000	-0.2170	-0.3903	0.0000	0.1981	-0.2405	-0.0000	1
2893440	2998.0417	1843.2504	128.0000	-0.2007	-0.4248	0.0000	0.0057	-0.1172	0.0000	1
2893460	2998.0016	1843.1631	128.0000	-0.2224	-0.4364	0.0000	-0.2254	0.0090	-0.0000	1
2893480	2997.9528	1843.0758	128.0000	-0.2810	-0.4274	0.0000	-0.3992	0.0866	0.0000	1
2893500	2997.8892	1842.9921	128.0000	-0.3581	-0.3999	0.0000	-0.4005	0.1806	-0.0000	1
2893520	2997.8096	1842.9159	128.0000	-0.4376	-0.3513	0.0000	-0.3988	0.3070	0.0000	1
2893540	2997.7141	1842.8516	128.0000	-0.5109	-0.2860	0.0000	-0.3738	0.3865	-0.0000	1
2893560	2997.6052	1842.8015	128.0000	-0.5540	-0.2248	0.0000	-0.1381	0.2750	0.0000	1
2893580	2997.4926	1842.7617	128.0000	-0.5278	-0.1938	0.0000	0.3758	0.0546	-0.0000	1
2893600	2997.3941	1842.7240	128.0000	-0.4240	-0.2031	0.0000	0.7570	-0.1755	0.0000	1
2893620	2997.3229	1842.6804	128.0000	-0.2907	-0.2384	0.0000	0.6971	-0.2274	-0.0000	1
2893640	2997.2778	1842.6286	128.0000	-0.1898	-0.2740	0.0000	0.3543	-0.1601	0.0000	1
2893660	2997.2470	1842.5708	128.0000	-0.1452	-0.2903	0.0000	0.0419	-0.0186	0.0000	1
2893680	2997.2197	1842.5125	128.0000	-0.1344	-0.2777	0.0000	-0.0068	0.1430	-0.0000	1
2893700	2997.1933	1842.4598	128.0000	-0.1214	-0.2351	0.0000	0.1187	0.2938	0.0000	1
2893720	2997.1712	1842.4184	128.0000	-0.0933	-0.1710	0.0000	0.1822	0.3881	-0.0000	1
2893740	2997.1560	1842.3913	128.0000	-0.0583	-0.1069	0.0000	0.1896	0.2930	0.0000	1
2893760	2997.1478	1842.3757	128.0000	-0.0288	-0.0622	0.0000	0.1186	0.1503	-0.0000	1
2893780	2997.1444	1842.3665	128.0000	-0.0119	-0.0373	0.0000	0.0475	0.0755	0.0000	1
2893800	2997.1431	1842.3607	128.0000	-0.0076	-0.0218	0.0000	-0.0069	0.0691	-0.0000	1
2893820	2997.1414	1842.3578	128.0000	-0.0154	-0.0118	0.0000	-0.0615	0.0598	0.0000	1
2893840	2997.1369	1842.3560	128.0000	-0.0400	-0.0211	0.0000	-0.1721	-0.1227	-0.0000	1
2893860	2997.1254	1842.3493	128.0000	-0.0871	-0.0623	0.0000	-0.3048	-0.3087	0.0000	1
2893880	2997.1021	1842.3311	128.0000	-0.1516	-0.1269	0.0000	-0.3792	-0.3798	-0.0000	1
2893900	2997.0648	1842.2986	128.0000	-0.2111	-0.1943	0.0000	-0.2747	-0.3099	0.0000	1
2893920	2997.0176	1842.2534	128.0000	-0.2358	-0.2549	0.0000	-0.0006	-0.2855	-0.0000	1
2893940	2996.9705	1842.1966	128.0000	-0.2111	-0.3117	0.0000	0.2772	-0.2822	0.0000	1
2893960	2996.9332	1842.1287	128.0000	-0.1523	-0.3649	0.0000	0.3704	-0.2577	-0.0000	1
2893980	2996.9096	1842.0507	128.0000	-0.0899	-0.4100	0.0000	0.2957	-0.2029	0.0000	1
2894000	2996.8972	1841.9647	128.0000	-0.0478	-0.4425	0.0000	0.1357	-0.1212	-0.0000	1
2894020	2996.8904	1841.8736	128.0000	-0.0329	-0.4628	0.0000	-0.0039	-0.0760	0.0000	1
2894040	2996.8840	1841.7796	128.0000	-0.0371	-0.4727	0.0000	-0.0632	-0.0275	-0.0000	1
2894060	2996.8756	1841.6846	128.0000	-0.0469	-0.4707	0.0000	-0.0495	0.0453	0.0000	1
2894080	2996.8653	1841.5913	128.0000	-0.0541	-0.4554	0.0000	-0.0183	0.1073	-0.0000	1
2894100	2996.8539	1841.5024	128.0000	-0.0618	-0.4269	0.0000	-0.0350	0.1828	0.0000	1
2894120	2996.8406	1841.4205	128.0000	-0.0805	-0.3889	0.0000	-0.1412	0.2117	-0.0000	1
2894140	2996.8217	1841.3468	128.0000	-0.1159	-0.3493	0.0000	-0.2269	0.2023	0.0000	1
2894160	2996.7942	1841.2808	128.0000	-0.1621	-0.3171	0.0000	-0.2470	0.1239	-0.0000	1
2894180	2996.7569	1841.2200	128.0000	-0.2131	-0.2966	0.0000	-0.2590	0.0885	0.0000	1
2894200	2996.7090	1841.1621	128.0000	-0.2702	-0.2949	0.0000	-0.3046	-0.0369	-0.0000	1
2894220	2996.6488	1841.1020	128.0000	-0.3362	-0.3292	0.0000	-0.3622	-0.2769	0.0000	1
2894240	2996.5745	1841.0305	128.0000	-0.4062	-0.4103	0.0000	-0.3679	-0.5767	-0.0000	1
2894260	2996.4863	1840.9379	128.0000	-0.4638	-0.5114	0.0000	-0.2416	-0.5602	0.0000	1
2894280	2996.3890	1840.8259	128.0000	-0.4918	-0.5694	0.0000	-0.0460	-0.1088	-0.0000	1
2894300	2996.2896	1840.7102	128.0000	-0.4857	-0.5382	0.0000	0.1240	0.4459	0.0000	1
2894320	2996.1947	1840.6106	128.0000	-0.4533	-0.4284	0.0000	0.2190	0.7474	-0.0000	1
2894340	2996.1083	1840.5388	128.0000	-0.4041	-0.2877	0.0000	0.2762	0.7252	0.0000	1
2894360	2996.0330	1840.4955	128.0000	-0.3417	-0.1545	0.0000	0.3485	0.6346	-0.0000	1
2894380	2995.9716	1840.4770	128.0000	-0.2700	-0.0497	0.0000	0.4021	0.4457	0.0000	1
2894400	2995.9250	1840.4757	128.0000	-0.2077	0.0114	0.0000	0.2747	0.1634	-0.0000	1
2894420	2995.8885	1840.4816	128.0000	-0.1818	0.0339	0.0000	0.0072	-0.0131	0.0000	1
2894440	2995.8523	1840.4892	128.0000	-0.2042	0.0562	0.0000	-0.2616	0.1533	-0.0000	1
2894460	2995.8069	1840.5041	128.0000	-0.2588	0.1160	0.0000	-0.3454	0.4732	0.0000	1
2894480	2995.7488	1840.5356	128.0000	-0.3143	0.1981	0.0000	-0.2450	0.4667	-0.0000	1
2894500	2995.6811	1840.5833	128.0000	-0.3520	0.2470	0.0000	-0.1191	0.0775	0.0000	1
2894520	2995.6080	1840.6344	128.0000	-0.3776	0.2347	0.0000	-0.0968	-0.2651	-0.0000	1
2894540	2995.5301	1840.6772	128.0000	-0.4094	0.1924	0.0000	-0.2129	-0.2626	0.0000	1
2894560	2995.4442	1840.7114	128.0000	-0.4496	0.1710	0.0000	-0.2368	0.0203	-0.0000	1
2894580	2995.3502	1840.7456	128.0000	-0.4755	0.1872	0.0000	-0.0697	0.1930	0.0001	1
2894600	2995.2541	1840.7862	128.0000	-0.4650	0.2178	0.0000	0.1951	0.1662	-0.0003	1
2894620	2995.1642	1840.8327	128.0000	-0.4319	0.2371	0.0000	0.2367	0.0207	0.0012	1
2894640	2995.0813	1840.8811	128.0000	-0.4242	0.2427	0.0000	-0.1013	0.0289	-0.0045	1
2894660	2994.9945	1840.9298	128.0000	-0.4744	0.2500	0.0000	-0.4124	-0.0743	0.0168	1
2894680	2994.8915	1840.9811	128.0000	-0.5768	0.3134	0.0000	-0.6813	0.6418	-0.0627	1
2894700	2994.7638	1841.0552	128.0000	-0.7044	0.4933	0.0283	-0.5746	0.9372	0.2341	1
2894720	2994.6097	1841.1784	128.0113	-0.8715	0.9285	0.1640	-0.9643	2.9755	0.8233	1
2894740	2994.4152	1841.4266	128.0656	-1.1326	1.8174	0.5984	-1.6462	5.9036	2.9180	1
2894760	2994.1567	1841.9053	128.2507	-1.4740	3.1191	1.6724	-2.0386	8.0003	7.1248	1
2894780	2993.8256	1842.6742	128.7345	-1.7428	4.3231	3.7329	-1.0973	5.6070	13.4007	1
2894800	2993.4596	1843.6346	129.7439	-1.7157	4.6381	6.7419	1.1965	-1.6998	18.0886	1
2894820	2993.1393	1844.5294	131.4313	-1.3151	3.7112	9.8919	3.1700	-8.6333	15.9686	1
2894840	2992.9335	1845.1190	133.7006	-0.7241	2.0793	11.8218	3.3027	-9.5568	5.3087	1
2894860	2992.8496	1845.3612	136.1600	-0.2302	0.6855	11.5133	1.8964	-5.2632	-8.6775	0
2894880	2992.8415	1845.3932	138.3059	0.0205	0.0252	9.1156	0.4715	-0.8944	-17.6339	1
2894900	2992.8578	1845.3713	139.8063	0.0811	-0.0676	5.8402	-0.1028	0.7281	-17.6165	1
2894920	2992.8739	1845.3662	140.6420	0.0749	0.0168	3.0283	-0.0984	0.5267	-11.5931	1
