# TRAJECTORY DATA
# When using these data you are asked to cite our related paper:
#
#  Nagy M, Akos Zs, Biro D, Vicsek T,
#  Hierarchical group dynamics in pigeon flocks,
#  Nature 464, 890-893 (2010).
#
# Additional information: http://hal.elte.hu/pigeonflocks
# 
# Pre-processed, high-resolution trajectories of homing pigeons flying in a flock obtained
# from raw data provided by miniature GPS devices
#
# Date of measurement:	24. 09. 2008.
# GPS geodetic coordinates of the origin of the local Cartesian coordinate system (0,0):	N47 33.000 E019 03.000
#
# Pigeon:	M
# Flight type and number:	Free Flight 9
#
#t(centisec)	X(m)	Y(m)	Z(m)	dX/dt(m/s)	dY/dt(m/s)	dZ/dt(m/s)	d^2X/dt^2(m/s^2)	d^2Y/dt^2(m/s^2)	d^2Z/dt^2(m/s^2)	GPS signal
3950900	2992.3624	1847.2305	119.3983	-0.2056	-0.2074	-2.3757	0.0000	0.0000	0.0000	1
3950920	2992.3212	1847.1891	118.9232	-0.2252	-0.2294	-2.2166	-0.2593	-0.2882	1.6397	1
3950940	2992.2723	1847.1388	118.5117	-0.2594	-0.2690	-1.7738	-0.1412	-0.1668	2.9863	1
3950960	2992.2175	1847.0814	118.2137	-0.2775	-0.2956	-1.1675	-0.0465	-0.1004	3.4404	1
3950980	2992.1613	1847.0205	118.0447	-0.2700	-0.3009	-0.5918	0.1073	0.0309	2.6038	1
3951000	2992.1095	1846.9611	117.9770	-0.2306	-0.2773	-0.2031	0.2882	0.1963	1.3302	1
3951020	2992.0690	1846.9096	117.9635	-0.1599	-0.2193	-0.0281	0.4335	0.3796	0.2157	1
3951040	2992.0455	1846.8734	117.9657	-0.0679	-0.1278	0.0237	0.5262	0.5699	0.1639	1
3951060	2992.0419	1846.8585	117.9730	0.0230	-0.0233	0.0330	0.4343	0.5435	-0.1178	1
3951080	2992.0547	1846.8641	117.9789	0.0856	0.0569	0.0370	0.2178	0.3220	0.1132	1
3951100	2992.0761	1846.8813	117.9878	0.1053	0.0786	0.0521	-0.0294	-0.0849	0.0953	1
3951120	2992.0968	1846.8955	117.9998	0.0864	0.0334	0.0579	-0.1984	-0.4277	-0.0161	1
3951140	2992.1107	1846.8946	118.0109	0.0464	-0.0463	0.0410	-0.2140	-0.4675	-0.1624	1
3951160	2992.1154	1846.8770	118.0162	-0.0070	-0.1102	0.0045	-0.3066	-0.2187	-0.2177	1
3951180	2992.1079	1846.8505	118.0127	-0.0816	-0.1310	-0.0461	-0.3998	0.0225	-0.2708	1
3951200	2992.0828	1846.8246	117.9977	-0.2021	-0.1085	-0.1224	-0.7302	0.1994	-0.4303	1
3951220	2992.0270	1846.8071	117.9638	-0.4060	-0.0382	-0.2637	-1.2741	0.4606	-0.8536	1
3951240	2991.9204	1846.8093	117.8923	-0.7052	0.0968	-0.5391	-1.8120	0.8939	-1.7896	1
3951260	2991.7450	1846.8459	117.7481	-1.0404	0.2840	-0.9945	-1.7929	1.1270	-2.8757	1
3951280	2991.5042	1846.9229	117.4944	-1.2773	0.4412	-1.5531	-0.8157	0.6689	-3.1476	1
3951300	2991.2341	1847.0223	117.1269	-1.2948	0.4547	-1.9744	0.6448	-0.4416	-1.6058	1
3951320	2990.9863	1847.1048	116.7047	-1.0946	0.2782	-1.9832	1.5925	-1.4553	1.3609	0
